year,injuries,fatalities,region,count
1973,1,0,South Asia,1
1979,1,53,South Asia,3
1987,2,0,South Asia,1
1988,106,128,South Asia,11
1989,84,10,South Asia,10
1990,122,12,South Asia,2
1991,127,68,South Asia,30
1992,185,49,South Asia,36
1994,30,22,South Asia,9
1995,10,5,South Asia,6
1996,30,31,South Asia,4
1997,37,4,South Asia,1
1998,30,8,South Asia,1
1999,41,39,South Asia,9
2000,11,38,South Asia,14
2001,59,174,South Asia,14
2002,297,74,South Asia,38
2003,186,163,South Asia,100
2004,263,275,South Asia,88
2005,411,367,South Asia,155
2006,922,731,South Asia,282
2007,1148,1197,South Asia,340
2008,1330,1089,South Asia,415
2009,1594,1064,South Asia,502
2010,1696,1065,South Asia,541
2011,1941,1521,South Asia,421
2012,4659,3521,South Asia,1468
2013,4322,3696,South Asia,1441
2014,5111,5413,South Asia,1821
2015,6987,6210,South Asia,1927
2016,6485,6119,South Asia,1615
