keyword,val
police,241.15365212448125
attack,227.97601640016396
however,157.8122449894048
attributed,152.6958993092461
explosive,148.9131633926476
sources,148.51671655548543
area,147.19179640304392
injured,146.995670944215
detonated,146.64273314852323
attacks,143.84615601657117
attacked,143.0995392638458
blast,142.2992715668363
device,136.46595625356565
officers,132.22736056896662
least,119.58577778176598
people,103.56680253675746
wounded,102.9270364291156
city,100.65834962213333
security,97.51677441877081
vehicle,97.0320900807081
afghan,94.95205754630746
fire,92.59514635605822
civilians,87.47937233211954
unknown,87.47232251356513
others,79.29619929484869
opened,77.28813191316354
incidents,73.46551917730574
including,73.36393466260574
ensuing,73.24735209685932
targeting,69.78401339999246
kabul,69.20473746668955
casualties,68.90002567980123
abducted,68.0935368126019
officer,66.88572074951254
near,66.42706349573456
national,65.72486939140359
clash,64.56207861925026
nangarhar,64.54242778168035
herat,63.03015250442812
date,61.94150259188224
civilian,61.8335739994716
day,59.667185471875314
kandahar,59.34175899594352
reported,59.2621231155781
soldiers,58.03050546842417
ghazni,57.605391093374976
helmand,56.30101089508394
across,56.17366177566521
forces,52.9598575608537
number,52.16912073342276
bomber,52.069811416972335
checkpoint,51.286669788387655
suicide,49.44299830826471
assailant,46.903964816043626
alp,44.92075269310456
related,44.464928471208964
local,44.43818760937715
explosives,42.334592789511966
coordinated,40.09214720598853
laden,39.06121458723454
checkpost,39.03383996805664
checkpoints,36.66016803160839
post,32.2126790605692
