,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
142020,201501010012,2015,1,1,Afghanistan,South Asia,Kapisa,Kortas,35.029167,69.363056,"01/01/2015: An explosive device detonated targeting Wakil Habib Afghan in Kortas area, Kapisa province, Afghanistan. Afghan, a member of parliament (MP), was not harmed in the attack, but one of his guards was killed and three other guards were wounded. The Taliban claimed responsibility for the incident.",Government (General),Taliban,Explosives/Bombs/Dynamite,1,3
142026,201501010022,2015,1,1,Afghanistan,South Asia,Nangarhar,Jalalabad,34.434093,70.44742,"01/01/2015: A magnetic explosive device attached to a police vehicle detonated in Jalalabad city, Nangarhar province, Afghanistan. A border police officer was killed and another was injured in the blast. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,1,1
142043,201501010068,2015,1,1,Afghanistan,South Asia,Farah,Barangak,32.453788,62.031136,"01/01/2015: An explosive device detonated in Barangak village, Pusht Rod district, Farah province, Afghanistan. The son of an Afghan Local Police (ALP) commander was wounded in the blast. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,1
142052,201501010081,2015,1,1,Afghanistan,South Asia,Nimroz,Delaram district,31.997362,63.298669999999994,"01/01/2015: Assailants attacked a police patrol in Delaram district, Nimroz province, Afghanistan. Five people, two police officers and three assailants, were killed and a police officer was injured in the ensuing clash. The Taliban claimed responsibility for the incident.",Police,Taliban,Firearms,5,1
142053,201501010082,2015,1,1,Afghanistan,South Asia,Kunduz,Unknown,36.728590999999994,68.868066,"01/01/2015: Two assailants attacked civilians while traveling on Sher Khan port-Kunduz highway in Kunduz province, Afghanistan. The two assailants were killed after exchanging fire with police officials. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Firearms,2,0
142054,201501010083,2015,1,1,Afghanistan,South Asia,Kunduz,Imam Sahib district,37.184444,68.91444399999999,"01/01/2015: An assailant attempted to attach an explosive device to a police vehicle in Imam Sahib district, Kunduz province, Afghanistan. The assailant was apprehended by police officials. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,0
142060,201501020043,2015,1,2,Afghanistan,South Asia,Uruzgan,Kharkrez,32.613889,65.81,"01/02/2015: An explosive device detonated targeting the home of a local tribal elder in Khar Kharkrez town, Uruzgan province, Afghanistan. At least one person, the elder's son, was killed in the blast. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,0
142073,201501020059,2015,1,2,Afghanistan,South Asia,Helmand,Lashkar Gah,31.582865,64.368809,"01/02/2015: A magnetic explosive device attached to a vehicle carrying Azizi Bank employees detonated in Lashkar Gah city, Helmand province, Afghanistan. Three bank employees, including the bank's branch manager, and a police officer were killed and an unknown number of others were injured in the blast. No group claimed responsibility for the incident.",Business,Unknown,Explosives/Bombs/Dynamite,4,0
142078,201501020068,2015,1,2,Afghanistan,South Asia,Kunduz,Imam Sahib district,37.110345,68.849843,"01/02/2015: Assailants attacked an Afghan Local Police (ALP) checkpoint in Aski area, Imam Sahib district, Kunduz province, Afghanistan. At least six people, including two police officers and three assailants, were killed and one officer was wounded in the ensuing clash. The Taliban claimed responsibility for the incident.",Police,Taliban,Firearms,6,1
142083,201501020078,2015,1,2,Afghanistan,South Asia,Parwan,Bagram,34.942699,69.262517,"01/02/2015: Assailants fired a missile at Bagram Air Base in Bagram district, Parwan province, Afghanistan. No one was injured in the attack. The Taliban claimed responsibility for the incident.",Military,Taliban,Explosives/Bombs/Dynamite,0,0
142086,201501020081,2015,1,2,Afghanistan,South Asia,Nangarhar,Jalalabad,34.434093,70.44742,"01/02/2015: Two rockets were fired at the airport in Jalalabad city, Nangarhar province, Afghanistan. The attack resulted in an unstated number of casualties. No group claimed responsibility for the incident.",Military,Unknown,Explosives/Bombs/Dynamite,0,0
142087,201501020082,2015,1,2,Afghanistan,South Asia,Khost,Tani district,33.242222,69.828056,"01/02/2015: An explosive device prematurely detonated as it was being planted in Senkio area, Tani district, Khost province, Afghanistan. An assailant was killed in the blast. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,1,0
142103,201501030050,2015,1,3,Afghanistan,South Asia,Herat,Herat,34.341926,62.203101000000004,"01/03/2015: Assailants threw a grenade at a checkpoint guarding the Pakistani consulate in Herat city, Herat province, Afghanistan. No one was injured, but the checkpoint was damaged in the attack. No group claimed responsibility for the incident.",Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
142104,201501030052,2015,1,3,Afghanistan,South Asia,Wardak,Saydabad district,33.914076,68.656837,"01/03/2015: Assailants abducted police officers from a neighboring province in Saydabad district, Wardak province, Afghanistan. The dead bodies of the four abducted officers were discovered the following day. No group claimed responsibility; however, sources attributed the incident to the Taliban.",Police,Taliban,Firearms,4,0
142108,201501030059,2015,1,3,Afghanistan,South Asia,Herat,Herat,34.341926,62.203101000000004,"01/03/2015: An explosive device attached to an Afghan National Army (ANA) vehicle detonated in Herat city, Herat province, Afghanistan. Two soldiers were injured in the blast. No group claimed responsibility for the incident.",Military,Unknown,Explosives/Bombs/Dynamite,0,2
142120,201501030082,2015,1,3,Afghanistan,South Asia,Ghazni,Ghazni,33.549963,68.416399,"01/03/2015: Assailants attacked a doctor and her husband in Mangor area, Ghazni city, Ghazni province, Afghanistan. Both targets were killed in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Firearms,2,0
142121,201501030083,2015,1,3,Afghanistan,South Asia,Nuristan,Waygal district,35.221191999999995,71.049777,"01/03/2015: Assailants killed a National Directorate of Security (NDS) employee in Masigram village, Waygal district, Nuristan province, Afghanistan. This was one of two related attacks in Waygal on the same date. No group claimed responsibility for the incident.",Government (General),Unknown,Firearms,1,0
142122,201501030084,2015,1,3,Afghanistan,South Asia,Nuristan,Waygal district,35.190189000000004,70.993524,"01/03/2015: Assailants set fire to the house of a friend of a National Directorate of Security (NDS) employee killed in an earlier attack in Waygal district, Nuristan province, Afghanistan. There were no reports of casualties in the attack. This was one of two related attacks in Waygal on the same date. No group claimed responsibility for the incident.",Government (General),Unknown,Incendiary,0,0
142152,201501040018,2015,1,4,Afghanistan,South Asia,Logar,Deh-e Shaykh,33.962224,68.924973,"01/04/2015: Assailants attacked a patrol including the commander of the National Uprising Movement (NUM) militia in Deh-e Shaykh town, Barak-i-Barak district, Logar province, Afghanistan. Four uprising members were killed and one was injured in the attack. The Taliban claimed responsibility for the incident.",Terrorists/Non-State Militia,Taliban,Firearms,5,0
142153,201501040019,2015,1,4,Afghanistan,South Asia,Herat,Herat,34.341926,62.203101000000004,"01/04/2015: Assailants opened fire on a retired judge in Herat city, Herat province, Afghanistan. The judge, Mohammad Ismail, was killed in the attack. The Taliban claimed responsibility for the incident.",Government (General),Taliban,Firearms,1,0
142165,201501040035,2015,1,4,Afghanistan,South Asia,Ghazni,Barah Kala,33.065829,68.233333,"01/04/2015: An explosive device hidden in a police vehicle exploded in Barah Kala area, Qarabagh district, Ghazni province, Afghanistan. Two police officers, including the deputy head of a criminal investigation unit, were killed and at least two officers were wounded in the blast. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,2,2
142166,201501040036,2015,1,4,Afghanistan,South Asia,Farah,Barangak,32.453788,62.031136,"01/04/2015: An explosive device detonated in Barangak village, Pusht Rood district, Farah province, Afghanistan. One Afghan Local Police (ALP) officer was killed and a civilian was wounded in the blast. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,1,1
142167,201501040037,2015,1,4,Afghanistan,South Asia,Kandahar,Kandahar,31.612834999999997,65.70215999999999,"01/04/2015: Assailants opened fire on two police officers in Kandahar city, Kandahar province, Afghanistan. The two police officers were killed in the attack. This was one of three related attacks in Kandahar city on the same date. The Taliban claimed responsibility for the incident.",Police,Taliban,Firearms,2,0
142168,201501040038,2015,1,4,Afghanistan,South Asia,Kandahar,Kandahar,31.612834999999997,65.70215999999999,"01/04/2015: Assailants opened fire on a police officer in Kandahar city, Kandahar province, Afghanistan. The police officer was wounded in the attack. This was one of three related attacks in Kandahar city on the same date. The Taliban claimed responsibility for the incident.",Police,Taliban,Firearms,0,1
142169,201501040039,2015,1,4,Afghanistan,South Asia,Kandahar,Kandahar,31.613509000000004,65.7164,"01/04/2015: An explosive device hidden in a flowerpot detonated in Hazrat Ji Baba area, Kandahar city, Kandahar province, Afghanistan. A civilian was wounded in the blast. This was one of three related attacks in Kandahar city on the same date. The Taliban claimed responsibility for the incident.",Private Citizens & Property,Taliban,Explosives/Bombs/Dynamite,0,1
142200,201501050025,2015,1,5,Afghanistan,South Asia,Kabul,Kabul,34.533498,69.166579,"01/05/2015: An explosives-laden vehicle detonated targeting a European Union police (EUPOL) vehicle on the outskirts of Kabul city, Kabul province, Afghanistan. Two people were killed, including an assailant, and five civilians were wounded in the blast. The Taliban claimed responsibility for the incident.",Government (Diplomatic),Taliban,Explosives/Bombs/Dynamite,2,5
142201,201501050027,2015,1,5,Afghanistan,South Asia,Zabul,Qalat,32.106139,66.906922,"01/05/2015: A suicide bomber in an explosives-laden vehicle detonated near the convoy of General Ghulam Jilani Khan in Qalat city, Zabul province, Afghanistan. Khan, an Afghan Police Deputy Chief, was not harmed; however, at least three people, including the bomber and two civilians, were killed and nine others were wounded in the blast. The Taliban claimed responsibility for the incident.",Police,Taliban,Explosives/Bombs/Dynamite,3,9
142206,201501050037,2015,1,5,Afghanistan,South Asia,Nangarhar,Unknown,34.171831,70.621679,"01/05/2015: A suicide bomber in an explosives-laden vehicle detonated targeting a North Atlantic Treaty Organization (NATO) convoy on Jalalabad-Torkham highway in Nangarhar province, Afghanistan. The bomber was killed and there were no other reported casualties. The Taliban claimed responsibility for the incident.",Military,Taliban,Explosives/Bombs/Dynamite,1,0
142207,201501050038,2015,1,5,Afghanistan,South Asia,Kunar,Dangam district,35.008338,71.450864,"01/05/2015: An explosive device detonated after a civilian stepped on it in Dangam district, Kunar province, Afghanistan. The device was intended for Afghan security forces; however, the civilian was killed in the blast. No group claimed responsibility for the incident.",Military,Unknown,Explosives/Bombs/Dynamite,1,0
142210,201501050043,2015,1,5,Afghanistan,South Asia,Sari Pul,Dahane Tarpac,35.207547,66.27115400000001,"01/05/2015: Three suicide bombers attempted to attack the provincial headquarters in Dahane Tarpac area, between Balkhab and Kohistanat districts, Sari Pul province, Afghanistan. Two of the assailants were killed after being identified by local residents, while the third assailant was injured and arrested. No group claimed responsibility for the incident.",Government (General),Unknown,Explosives/Bombs/Dynamite,2,1
142217,201501050054,2015,1,5,Afghanistan,South Asia,Khost,Shambawat,33.371389,69.74333299999999,"01/05/2015: An explosive device detonated targeting an Afghan National Army (ANA) vehicle in Shambawat area, Nadar Shah Kot district, Khost province, Afghanistan. Two soldiers were wounded in the blast. The Taliban claimed responsibility for the incident.",Military,Taliban,Explosives/Bombs/Dynamite,0,2
142218,201501050055,2015,1,5,Afghanistan,South Asia,Farah,Bala Buluk district,32.794568,62.75780699999999,"01/05/2015: Assailants attacked a police post in Bala Buluk district, Farah province, Afghanistan. One police officer and two assailants were killed in the ensuing clash. No group claimed responsibility; however, sources attributed the incident to the Taliban.",Police,Taliban,Unknown,3,0
142221,201501050058,2015,1,5,Afghanistan,South Asia,Nangarhar,Pachir Agam district,34.2,70.278056,"01/05/2015: Assailants attacked security forces in Pachir Agam district, Nangarhar province, Afghanistan. Five assailants were killed and six assailants were wounded when forces returned fire. The Taliban claimed responsibility for the incident.",Military,Taliban,Firearms,5,6
142231,201501060007,2015,1,6,Afghanistan,South Asia,Helmand,Shaykh Zai,32.437599,64.47940799999999,"01/06/2015: Assailants fired a rocket at a civilian house in Shaykh Zai village, Nawzad district, Helmand province, Afghanistan. Three civilians were killed and two were wounded in the attack. No group claimed responsibility; however, sources attributed the incident to the Taliban.",Private Citizens & Property,Taliban,Explosives/Bombs/Dynamite,3,2
142234,201501060010,2015,1,6,Afghanistan,South Asia,Wardak,Saydabad district,34.007712,68.714007,"01/06/2015: Assailants set fire to the house of Doctor Muslim in Saydabad district, Wardak province, Afghanistan. Muslim, a district chief, was not harmed in the attack, but the house was damaged. No group claimed responsibility for the incident.",Government (General),Unknown,Incendiary,0,0
142252,201501060037,2015,1,6,Afghanistan,South Asia,Ghazni,Giro district,33.033668,68.33116700000001,"01/06/2015: An explosive device planted in a rickshaw detonated in Giru district, Ghazni province, Afghanistan. Three children were killed and two children were wounded in the blast. No group claimed responsibility; however, sources attributed the incident the Taliban.",Transportation,Taliban,Explosives/Bombs/Dynamite,3,2
142253,201501060038,2015,1,6,Afghanistan,South Asia,Wardak,Dasht Top,34.165001000000004,68.790285,"01/06/2015: Assailants set fire to a telecommunications tower in Dasht Top area, Syedabad district, Wardak province, Afghanistan. No one was injured and the tower was undamaged in the attack. No group claimed responsibility for the incident.",Telecommunication,Unknown,Incendiary,0,0
142254,201501060039,2015,1,6,Afghanistan,South Asia,Wardak,Dasht Top,34.165001000000004,68.790285,"01/06/2015: Assailants stormed a seminary in Dasht Top area, Syedabad district, Wardak province, Afghanistan. There was an unstated number of casualties, and the seminary was damaged in the attack. No group claimed responsibility for the incident.",Educational Institution,Unknown,Unknown,0,0
