,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
64856,199703170007,1997,3,17,Albania,Eastern Europe,,Elbasan,41.11679,20.092722,,Educational Institution,Unknown,Explosives/Bombs/Dynamite,0,0
64954,199703250012,1997,3,25,Albania,Eastern Europe,,Sarande,39.875561,20.00528,,Journalists & Media,Unknown,Firearms,0,1
64965,199703260007,1997,3,26,Albania,Eastern Europe,,Sauk,41.3,19.8333333,,Transportation,Unknown,Firearms,2,7
65277,199705080004,1997,5,8,Albania,Eastern Europe,,Tirana,41.3275,19.8188889,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
65434,199706020003,1997,6,2,Albania,Eastern Europe,,Tirana,41.3275,19.8188889,,Business,Unknown,Explosives/Bombs/Dynamite,0,20
65455,199706040010,1997,6,4,Albania,Eastern Europe,,Shkallnuer,41.2902778,19.5169444,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
65467,199706060006,1997,6,6,Albania,Eastern Europe,,Durres,41.3230556,19.4413889,,Educational Institution,Unknown,Explosives/Bombs/Dynamite,0,0
65580,199706160012,1997,6,16,Albania,Eastern Europe,,Puke (District),42.05,19.9,,Government (General),Unknown,Firearms,0,0
65641,199706220010,1997,6,22,Albania,Eastern Europe,,Elbasan,41.11679,20.092722,,Unknown,Unknown,Firearms,1,0
65642,199706220011,1997,6,22,Albania,Eastern Europe,,Elbasan,41.11679,20.092722,,Unknown,Unknown,Firearms,1,0
65643,199706220012,1997,6,22,Albania,Eastern Europe,,Luf,42.014657,19.84222,,Private Citizens & Property,Unknown,Unknown,1,0
65644,199706220013,1997,6,22,Albania,Eastern Europe,,Tirana,41.3275,19.8188889,,Police,Unknown,Firearms,0,6
65645,199706220014,1997,6,22,Albania,Eastern Europe,,Lezha,41.7836111,19.6436111,,Police,Unknown,Firearms,3,0
65681,199706250004,1997,6,25,Albania,Eastern Europe,,Fier,40.7238889,19.5561111,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,3,1
65693,199706260010,1997,6,26,Albania,Eastern Europe,,Tirana,41.3275,19.8188889,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
65694,199706260011,1997,6,26,Albania,Eastern Europe,,Gjirokaster,40.0758333,20.1388889,,Government (General),Unknown,Firearms,0,0
65695,199706260012,1997,6,26,Albania,Eastern Europe,,Lushnja,40.94194,19.705,,Government (General),Unknown,Firearms,0,9
65714,199706290008,1997,6,29,Albania,Eastern Europe,,Fier,40.7238889,19.5561111,,Government (General),Unknown,Firearms,0,3
65715,199706290009,1997,6,29,Albania,Eastern Europe,,Fier,40.7238889,19.5561111,,Government (General),Unknown,Incendiary,0,0
65716,199706290010,1997,6,29,Albania,Eastern Europe,,Roskovec,40.7375,19.702222199999998,,Government (General),Unknown,Incendiary,0,0
65717,199706290011,1997,6,29,Albania,Eastern Europe,,Fier (District),40.734122,19.579971,,Government (General),Unknown,Firearms,1,0
65725,199706300006,1997,6,30,Albania,Eastern Europe,,Vlore,40.466666700000005,19.4897222,,Military,Unknown,Firearms,0,1
65774,199707040008,1997,7,4,Albania,Eastern Europe,,Tirana,41.3275,19.8188889,,Government (General),Unknown,Firearms,0,0
65829,199707070004,1997,7,7,Albania,Eastern Europe,,Shkoder,42.0675,19.5130556,,Government (General),Unknown,Firearms,1,3
65867,199707100006,1997,7,10,Albania,Eastern Europe,,Peqin,41.05,19.75,,Police,Unknown,Explosives/Bombs/Dynamite,0,3
66001,199707220009,1997,7,22,Albania,Eastern Europe,,Tirana,41.3275,19.8188889,,Unknown,Unknown,Explosives/Bombs/Dynamite,0,3
66007,199707230003,1997,7,23,Albania,Eastern Europe,,Tirana,41.3275,19.8188889,,Police,Unknown,Firearms,1,0
66019,199707250005,1997,7,25,Albania,Eastern Europe,,Peshkopi,41.685,20.4288889,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,3,16
66156,199708100003,1997,8,10,Albania,Eastern Europe,,Vlore,40.466666700000005,19.4897222,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
66221,199708150011,1997,8,15,Albania,Eastern Europe,,Vlore,40.466666700000005,19.4897222,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
66242,199708180004,1997,8,18,Albania,Eastern Europe,,Kucove,40.803889,19.914444,,Private Citizens & Property,Unknown,Firearms,6,0
66281,199708210003,1997,8,21,Albania,Eastern Europe,,Gjorm,40.314285999999996,19.6431,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
66282,199708210004,1997,8,21,Albania,Eastern Europe,,Tirana,41.3275,19.8188889,,Journalists & Media,Unknown,Firearms,0,1
66685,199710020007,1997,10,2,Albania,Eastern Europe,,Kardhiq,40.121666999999995,20.0275,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
66686,199710020008,1997,10,2,Albania,Eastern Europe,,Sarande,39.875561,20.00528,,Police,Unknown,Explosives/Bombs/Dynamite,0,0
67288,199712140003,1997,12,14,Albania,Eastern Europe,,Gjirokaster,40.0758333,20.1388889,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
67295,199712150006,1997,12,15,Albania,Eastern Europe,,Gjirokaster,40.0758333,20.1388889,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,1
67298,199712160001,1997,12,16,Albania,Eastern Europe,,Gjirokaster,40.0758333,20.1388889,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
67323,199712180006,1997,12,18,Albania,Eastern Europe,,Ballsh,40.598888,19.734720000000003,,Police,Unknown,Firearms,3,2
67377,199712260003,1997,12,26,Albania,Eastern Europe,,Gjirokaster,40.078751000000004,20.148621,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
