year,injuries,fatalities,region,count
1972,0,0,Middle East & North Africa,1
1976,0,0,Middle East & North Africa,1
1978,1,0,Middle East & North Africa,1
1979,0,0,Middle East & North Africa,1
1990,1,3,Middle East & North Africa,2
1991,73,42,Middle East & North Africa,30
1992,274,236,Middle East & North Africa,215
1994,133,500,Middle East & North Africa,227
1995,1061,417,Middle East & North Africa,185
1996,1118,529,Middle East & North Africa,129
1997,1861,4266,Middle East & North Africa,344
1998,949,952,Middle East & North Africa,151
1999,325,467,Middle East & North Africa,106
2000,275,528,Middle East & North Africa,138
2001,253,624,Middle East & North Africa,113
2002,320,615,Middle East & North Africa,132
2003,112,269,Middle East & North Africa,75
2004,187,166,Middle East & North Africa,67
2005,228,228,Middle East & North Africa,104
2006,266,185,Middle East & North Africa,152
2007,630,279,Middle East & North Africa,124
2008,328,249,Middle East & North Africa,107
2009,211,204,Middle East & North Africa,108
2010,220,109,Middle East & North Africa,100
2011,34,25,Middle East & North Africa,15
2012,105,30,Middle East & North Africa,41
2013,48,101,Middle East & North Africa,22
2014,30,37,Middle East & North Africa,13
2015,19,21,Middle East & North Africa,16
2016,2,9,Middle East & North Africa,9
