,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
64263,199701040010,1997,1,4,Algeria,Middle East & North Africa,,Ben Achour,36.813266999999996,5.7517059999999995,,Private Citizens & Property,Islamist extremists,Unknown,26,0
64273,199701050007,1997,1,5,Algeria,Middle East & North Africa,,Douadouda,36.6725,2.7894400000000004,,Private Citizens & Property,Islamist extremists,Unknown,18,18
64274,199701050008,1997,1,5,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Business,Islamist extremists,Unknown,4,0
64291,199701070005,1997,1,7,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Educational Institution,Islamist extremists,Explosives/Bombs/Dynamite,13,100
64292,199701070006,1997,1,7,Algeria,Middle East & North Africa,,Al Khabar,,,,Unknown,Islamist extremists,Explosives/Bombs/Dynamite,7,11
64315,199701100004,1997,1,10,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Journalists & Media,Islamist extremists,Firearms,1,0
64327,199701120002,1997,1,12,Algeria,Middle East & North Africa,,Tabainat,,,,Private Citizens & Property,Islamist extremists,Melee,14,0
64328,199701120003,1997,1,12,Algeria,Middle East & North Africa,,Haouch Englise,,,,Private Citizens & Property,Islamist extremists,Melee,5,0
64329,199701120004,1997,1,12,Algeria,Middle East & North Africa,,Djebel Koukou,36.04051,2.96136,,Private Citizens & Property,Islamist extremists,Melee,9,0
64363,199701160009,1997,1,16,Algeria,Middle East & North Africa,,Boufarik,36.57412,2.91214,,Business,Islamist extremists,Explosives/Bombs/Dynamite,12,0
64378,199701180007,1997,1,18,Algeria,Middle East & North Africa,,Sidi Abdelaziz,36.854655,6.052698,,Private Citizens & Property,Islamist extremists,Unknown,36,0
64379,199701180008,1997,1,18,Algeria,Middle East & North Africa,,Sidi Abdelaziz,36.854655,6.052698,,Religious Figures/Institutions,Islamist extremists,Melee,49,0
64389,199701190008,1997,1,19,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Unknown,Islamist extremists,Explosives/Bombs/Dynamite,42,60
64390,199701190009,1997,1,19,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Private Citizens & Property,Islamist extremists,Explosives/Bombs/Dynamite,23,100
64404,199701200013,1997,1,20,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Educational Institution,Islamist extremists,Explosives/Bombs/Dynamite,0,0
64406,199701210002,1997,1,21,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Business,Islamist extremists,Explosives/Bombs/Dynamite,1,10
64413,199701220004,1997,1,22,Algeria,Middle East & North Africa,,Boufarik,36.57412,2.91214,,Unknown,Islamist extremists,Explosives/Bombs/Dynamite,7,60
64414,199701220005,1997,1,22,Algeria,Middle East & North Africa,,Blida,36.480453000000004,2.8338799999999997,,Private Citizens & Property,Islamist extremists,Explosives/Bombs/Dynamite,8,10
64422,199701230002,1997,1,23,Algeria,Middle East & North Africa,,Baba Ali,36.663340999999996,3.055873,,Business,Islamist extremists,Unknown,15,2
64423,199701230003,1997,1,23,Algeria,Middle East & North Africa,,Bachdjerah,36.721721,3.118229,,Government (General),Islamist extremists,Firearms,1,0
64431,199701260002,1997,1,26,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Government (General),Unknown,Firearms,2,1
64450,199701280009,1997,1,28,Algeria,Middle East & North Africa,,Oued El Alleug,36.55,2.7833330000000003,,Business,Islamist extremists,Explosives/Bombs/Dynamite,1,10
64451,199701280010,1997,1,28,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Private Citizens & Property,Kamal Boulander Group,Firearms,2,1
64452,199701280011,1997,1,28,Algeria,Middle East & North Africa,,Blida,36.480453000000004,2.8338799999999997,,Unknown,Islamist extremists,Explosives/Bombs/Dynamite,1,17
64467,199701300006,1997,1,30,Algeria,Middle East & North Africa,,Oran,35.696944,-0.6330560000000001,,Military,Islamist extremists,Firearms,1,0
64468,199701300007,1997,1,30,Algeria,Middle East & North Africa,,Sidi Moussa,36.60637,3.08783,,Private Citizens & Property,Armed Islamic Group (GIA),Melee,8,0
64479,199702010006,1997,2,1,Algeria,Middle East & North Africa,,Haduch Benouar,,,,Private Citizens & Property,Islamist extremists,Melee,7,0
64485,199702020005,1997,2,2,Algeria,Middle East & North Africa,,Medea,36.266667,2.75,,Private Citizens & Property,Islamist extremists,Unknown,31,0
64583,199702070005,1997,2,7,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Private Citizens & Property,Islamist extremists,Melee,14,0
64589,199702080001,1997,2,8,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Private Citizens & Property,Islamist extremists,Unknown,3,0
64590,199702080002,1997,2,8,Algeria,Middle East & North Africa,,Damous,36.54933,1.70577,,Religious Figures/Institutions,Unknown,Firearms,1,0
64597,199702090006,1997,2,9,Algeria,Middle East & North Africa,,Meftah,36.616667,3.2166669999999997,,Unknown,Islamist extremists,Firearms,2,0
64604,199702100006,1997,2,10,Algeria,Middle East & North Africa,,Sidi Moussa,36.60637,3.08783,,Educational Institution,Islamist extremists,Explosives/Bombs/Dynamite,0,4
64631,199702120007,1997,2,12,Algeria,Middle East & North Africa,,Sidi Ali,36.309255,2.800806,,Private Citizens & Property,Unknown,Unknown,64,0
64677,199702190004,1997,2,19,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Police,Islamist extremists,Unknown,0,1
64687,199702210004,1997,2,21,Algeria,Middle East & North Africa,,Souaghi,36.12458,3.2644599999999997,,Private Citizens & Property,Unknown,Melee,2,0
64688,199702210005,1997,2,21,Algeria,Middle East & North Africa,,Tablat,36.41282,3.3100699999999996,,Private Citizens & Property,Unknown,Melee,5,0
64689,199702210006,1997,2,21,Algeria,Middle East & North Africa,,Laghouat,33.8,2.8833330000000004,,Private Citizens & Property,Islamist extremists,Melee,5,0
64699,199702230004,1997,2,23,Algeria,Middle East & North Africa,,Sidi Bouzid,35.949479,0.450046,,Government (General),Unknown,Firearms,0,3
64700,199702230005,1997,2,23,Algeria,Middle East & North Africa,,Seif Dahas,,,,Transportation,Islamist extremists,Melee,18,0
64713,199702240007,1997,2,24,Algeria,Middle East & North Africa,,Boufarik,36.57412,2.91214,,Private Citizens & Property,Islamist extremists,Explosives/Bombs/Dynamite,1,13
64718,199702250003,1997,2,25,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Private Citizens & Property,Islamist extremists,Unknown,0,0
64753,199703030007,1997,3,3,Algeria,Middle East & North Africa,,Oued El Alleug,36.55,2.7833330000000003,,Business,Islamist extremists,Explosives/Bombs/Dynamite,0,3
64835,199703150017,1997,3,15,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Unknown,Islamist extremists,Explosives/Bombs/Dynamite,4,0
64836,199703150018,1997,3,15,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Transportation,Islamist extremists,Explosives/Bombs/Dynamite,4,0
64837,199703150019,1997,3,15,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Transportation,Islamist extremists,Unknown,3,0
64845,199703160005,1997,3,16,Algeria,Middle East & North Africa,,Saida,34.840752,0.149473,,Police,Islamist extremists,Explosives/Bombs/Dynamite,7,0
64857,199703170008,1997,3,17,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Unknown,Islamist extremists,Explosives/Bombs/Dynamite,0,0
64858,199703170009,1997,3,17,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Unknown,Islamist extremists,Explosives/Bombs/Dynamite,0,0
64859,199703170010,1997,3,17,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Unknown,Islamist extremists,Explosives/Bombs/Dynamite,4,30
64878,199703190005,1997,3,19,Algeria,Middle East & North Africa,,Ouled Antar,35.94725,2.6023110000000003,,Private Citizens & Property,Islamist extremists,Melee,32,0
64903,199703210139,1997,3,21,Algeria,Middle East & North Africa,,Ouzra,36.254166999999995,2.847222,,Private Citizens & Property,Islamist extremists,Melee,7,0
64931,199703230004,1997,3,23,Algeria,Middle East & North Africa,,Berrouaghia,36.133317,2.916647,,Private Citizens & Property,Islamist extremists,Unknown,5,0
64955,199703250013,1997,3,25,Algeria,Middle East & North Africa,,Sidi Moussa,36.60637,3.08783,,Terrorists/Non-State Militia,Armed Islamic Group (GIA),Explosives/Bombs/Dynamite,2,0
64968,199703270002,1997,3,27,Algeria,Middle East & North Africa,,Boumerd?s,36.760290000000005,3.4723949999999997,,Unknown,Islamist extremists,Explosives/Bombs/Dynamite,4,27
64969,199703270003,1997,3,27,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Business,Jihad Islamic League Front,Explosives/Bombs/Dynamite,4,27
64970,199703270004,1997,3,27,Algeria,Middle East & North Africa,,Sig,35.52832,-0.19369,,Private Citizens & Property,Islamist extremists,Explosives/Bombs/Dynamite,2,18
64996,199703310006,1997,3,0,Algeria,Middle East & North Africa,Blida Province,Amroussa,36.499194,2.9508349999999997,"3/31/1997: Approximately 40 members of Armed Islamic Group (GIA) atatcked villager in Amroussa, Blida province, Algeria.  The assailants broke into homes and killed 15 people people, in some cases dousing them with gasoline and setting them on fire.  Specific motive is unknown.",Private Citizens & Property,Armed Islamic Group (GIA),Melee,15,0
64997,199704000001,1997,3,0,Algeria,Middle East & North Africa,Medea Province,Thalit,35.832368,2.670058,"3/31/1997: Muslim rebels attacked the village of Thalit, Medea province, Algeria.  At least 40 armed assailants surrounded the village before moving in to kill 52 residents and burn their homes; sources report that one villager escaped. Specific motive is unknown.",Private Citizens & Property,Muslim Rebels,Melee,52,0
65018,199704030005,1997,4,3,Algeria,Middle East & North Africa,,Sidi Abdelkrim,36.02937,1.81168,,Private Citizens & Property,Muslim Rebels,Melee,2,0
65035,199704060006,1997,4,6,Algeria,Middle East & North Africa,,Ain El Hadid,35.057829999999996,0.88479,,Private Citizens & Property,Muslim Rebels,Melee,15,0
65077,199704110007,1997,4,11,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Journalists & Media,Unknown,Unknown,0,0
65078,199704110008,1997,4,11,Algeria,Middle East & North Africa,,Menaa,35.182508,6.006775,,Private Citizens & Property,Unknown,Melee,22,0
65101,199704140001,1997,4,14,Algeria,Middle East & North Africa,,Ch'ab Mohammed,29.55033,-2.38194,,Private Citizens & Property,Unknown,Melee,36,0
65112,199704160003,1997,4,16,Algeria,Middle East & North Africa,,Blida,36.480453000000004,2.8338799999999997,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,7,26
65134,199704180013,1997,4,18,Algeria,Middle East & North Africa,,Uk. Algiers,36.753668,3.041935,,Transportation,Unknown,Explosives/Bombs/Dynamite,21,0
65163,199704220005,1997,4,22,Algeria,Middle East & North Africa,,Haouch Boughlef-Khemisti,,,,Private Citizens & Property,Unknown,Firearms,93,0
65180,199704250003,1997,4,25,Algeria,Middle East & North Africa,Algiers Province,Algiers,36.754153,3.042247,"4/25/1997: An improvised explosive device hidden under railway tracks detonated as a passenger train passed over it near Algiers, Algiers province, Algeria.  At least 21 people were killed and another 20 were injured in the explosion that destroyed two passenger cars.  No group claimed responsibility; however, officials blame Muslim rebels.  They believe the attack was intended to disrupt upcoming elections.",Transportation,Muslim Rebels,Explosives/Bombs/Dynamite,21,20
65216,199704290007,1997,4,29,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,2
65230,199704300013,1997,4,30,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Police,Unknown,Firearms,2,0
65237,199705020003,1997,5,2,Algeria,Middle East & North Africa,,Unknown,,,,Utilities,Unknown,Explosives/Bombs/Dynamite,9,32
65264,199705060006,1997,5,6,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Educational Institution,Unknown,Explosives/Bombs/Dynamite,5,32
65265,199705060007,1997,5,6,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Educational Institution,Unknown,Explosives/Bombs/Dynamite,5,32
65266,199705060008,1997,5,6,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Educational Institution,Unknown,Explosives/Bombs/Dynamite,5,32
65288,199705110002,1997,5,11,Algeria,Middle East & North Africa,,Medea,36.266667,2.75,,Unknown,Unknown,Explosives/Bombs/Dynamite,2,11
65289,199705110003,1997,5,11,Algeria,Middle East & North Africa,,Bordj El Kiffan,36.748709999999996,3.1924799999999998,,Unknown,Unknown,Explosives/Bombs/Dynamite,13,30
65355,199705220003,1997,5,22,Algeria,Middle East & North Africa,,Boufarik,36.57412,2.91214,,Unknown,Unknown,Explosives/Bombs/Dynamite,15,31
65371,199705260004,1997,5,26,Algeria,Middle East & North Africa,,Djabara,35.4025,0.21735,,Private Citizens & Property,Armed Islamic Group (GIA),Melee,8,0
65396,199705290003,1997,5,29,Algeria,Middle East & North Africa,,Fizane,,,,Private Citizens & Property,Unknown,Unknown,14,0
65397,199705290004,1997,5,29,Algeria,Middle East & North Africa,,Boumerd?s,36.760290000000005,3.4723949999999997,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
65398,199705290005,1997,5,29,Algeria,Middle East & North Africa,,Chlef,36.16525,1.3345200000000002,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
65399,199705290006,1997,5,29,Algeria,Middle East & North Africa,,Medea,36.266667,2.75,,Private Citizens & Property,Unknown,Firearms,5,0
65400,199705290007,1997,5,29,Algeria,Middle East & North Africa,,Chenus,,,,Transportation,Unknown,Melee,1,0
65406,199705300004,1997,5,30,Algeria,Middle East & North Africa,,Bakura,,,,Private Citizens & Property,Unknown,Unknown,14,4
65415,199705310006,1997,5,31,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Business,Unknown,Explosives/Bombs/Dynamite,0,5
65423,199706010004,1997,6,1,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Transportation,Unknown,Explosives/Bombs/Dynamite,8,77
65435,199706020004,1997,6,2,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,5,10
65457,199706050001,1997,6,5,Algeria,Middle East & North Africa,,Djelfa,34.666667,3.25,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,2
65500,199706100011,1997,6,10,Algeria,Middle East & North Africa,,Tajna,,,,Private Citizens & Property,Muslim Militants,Melee,6,0
65521,199706120009,1997,6,12,Algeria,Middle East & North Africa,,Cherifia,36.50054,2.8927,,Private Citizens & Property,Muslim Rebels,Unknown,12,0
65522,199706120010,1997,6,12,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Private Citizens & Property,Muslim Rebels,Firearms,1,0
65555,199706140012,1997,6,14,Algeria,Middle East & North Africa,,Tipaza,36.587152,2.44311,,Private Citizens & Property,Unknown,Melee,0,0
65556,199706140013,1997,6,14,Algeria,Middle East & North Africa,,Tipaza,36.587152,2.44311,,Private Citizens & Property,Unknown,Incendiary,13,0
65581,199706160013,1997,6,16,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Private Citizens & Property,Muslim Rebels,Melee,5,0
65582,199706160014,1997,6,16,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Private Citizens & Property,Muslim Militants,Explosives/Bombs/Dynamite,0,0
65583,199706160015,1997,6,16,Algeria,Middle East & North Africa,,Vlc. Bechar,31.60799,-2.2189520000000003,,Private Citizens & Property,Muslim Rebels,Unknown,11,0
65590,199706170008,1997,6,17,Algeria,Middle East & North Africa,,Jaouaza,,,,Private Citizens & Property,Muslim Rebels,Unknown,15,0
65609,199706180017,1997,6,18,Algeria,Middle East & North Africa,,Mouzaia,36.466667,2.683333,,Private Citizens & Property,Muslim Rebels,Melee,18,0
65610,199706180018,1997,6,18,Algeria,Middle East & North Africa,,Muza,,,,Private Citizens & Property,Muslim Rebels,Melee,24,0
65611,199706180019,1997,6,18,Algeria,Middle East & North Africa,,Dairat Labguer,,,,Private Citizens & Property,Muslim Rebels,Melee,54,0
65617,199706190001,1997,6,19,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Business,Muslim Rebels,Explosives/Bombs/Dynamite,2,20
65623,199706200004,1997,6,20,Algeria,Middle East & North Africa,,El Affroun,36.46748,2.622849,,Private Citizens & Property,Muslim Rebels,Explosives/Bombs/Dynamite,1,4
65650,199706230003,1997,6,23,Algeria,Middle East & North Africa,,Lazharia,35.936139000000004,1.559647,,Private Citizens & Property,Unknown,Melee,4,0
65651,199706230004,1997,6,23,Algeria,Middle East & North Africa,,M Sila,35.700179999999996,4.545026,,Private Citizens & Property,Muslim Rebels,Explosives/Bombs/Dynamite,3,0
65682,199706250005,1997,6,25,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,40
65683,199706250006,1997,6,25,Algeria,Middle East & North Africa,,Bourouis,36.177213,9.126142999999999,,Private Citizens & Property,Muslim Rebels,Melee,6,0
65696,199706260013,1997,6,26,Algeria,Middle East & North Africa,,Seghouane,36.001290000000004,2.90429,,Private Citizens & Property,Muslim Rebels,Melee,22,0
65697,199706260014,1997,6,26,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Transportation,Unknown,Explosives/Bombs/Dynamite,3,20
65758,199707020006,1997,7,2,Algeria,Middle East & North Africa,,Larba,36.565220000000004,3.153934,,Private Citizens & Property,Unknown,Firearms,4,0
65775,199707040009,1997,7,4,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Private Citizens & Property,Unknown,Unknown,3,0
65776,199707040010,1997,7,4,Algeria,Middle East & North Africa,,Unknown,36.266667,2.75,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,3,0
65777,199707040011,1997,7,4,Algeria,Middle East & North Africa,,Unknown,36.266667,2.75,,Private Citizens & Property,Unknown,Unknown,18,0
65778,199707040012,1997,7,4,Algeria,Middle East & North Africa,,Unknown,36.266667,2.75,,Private Citizens & Property,Unknown,Unknown,27,0
65830,199707070005,1997,7,7,Algeria,Middle East & North Africa,,Bougara,36.541779999999996,3.0810000000000004,,Private Citizens & Property,Unknown,Melee,2,0
65857,199707090004,1997,7,9,Algeria,Middle East & North Africa,,Algiers,36.752887,3.042048,,Business,Unknown,Explosives/Bombs/Dynamite,0,20
65858,199707090005,1997,7,9,Algeria,Middle East & North Africa,,Hatatba,,,,Private Citizens & Property,Unknown,Unknown,8,0
65880,199707110009,1997,7,11,Algeria,Middle East & North Africa,,Balili,,,,Terrorists/Non-State Militia,Islamist extremists,Unknown,14,0
65881,199707110010,1997,7,11,Algeria,Middle East & North Africa,,Ksarel Boukhari,35.885556,2.750833,,Private Citizens & Property,Unknown,Melee,1,0
65886,199707120003,1997,7,12,Algeria,Middle East & North Africa,,Afir,36.837629,3.995129,,Transportation,Islamist extremists,Explosives/Bombs/Dynamite,7,11
65887,199707120004,1997,7,12,Algeria,Middle East & North Africa,,Fetha,,,,Private Citizens & Property,Islamist extremists,Melee,33,0
65888,199707120005,1997,7,12,Algeria,Middle East & North Africa,,Douar Barague,,,,Private Citizens & Property,Islamist extremists,Unknown,4,0
65889,199707120006,1997,7,12,Algeria,Middle East & North Africa,,Douar Aziz,36.502221999999996,1.615834,,Private Citizens & Property,Islamist extremists,Unknown,7,0
65902,199707140005,1997,7,14,Algeria,Middle East & North Africa,,Algiers,36.7525,3.04197,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,21,40
65934,199707170006,1997,7,17,Algeria,Middle East & North Africa,,Blida,36.480453000000004,2.8338799999999997,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,1
65953,199707190002,1997,7,19,Algeria,Middle East & North Africa,,Tlemcen,34.882776,-1.31667,,Business,Unknown,Explosives/Bombs/Dynamite,1,30
65954,199707190003,1997,7,19,Algeria,Middle East & North Africa,,Tlemcen,34.882776,-1.31667,,Business,Unknown,Explosives/Bombs/Dynamite,1,30
65987,199707210008,1997,7,21,Algeria,Middle East & North Africa,,Blida,36.480453000000004,2.8338799999999997,,Private Citizens & Property,Islamist extremists,Melee,47,0
65988,199707210009,1997,7,21,Algeria,Middle East & North Africa,,Blida,36.480453000000004,2.8338799999999997,,Private Citizens & Property,Islamist extremists,Melee,47,0
66008,199707230004,1997,7,23,Algeria,Middle East & North Africa,,Hayut,,,,Private Citizens & Property,Islamist extremists,Melee,36,0
66029,199707270003,1997,7,27,Algeria,Middle East & North Africa,,Sidi Bel Abbes,35.2,-0.633333,,Business,Unknown,Explosives/Bombs/Dynamite,1,0
66030,199707270004,1997,7,27,Algeria,Middle East & North Africa,,Boufarik,36.57412,2.91214,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,2,0
66031,199707270005,1997,7,27,Algeria,Middle East & North Africa,,Aouaria,35.341428,-1.329882,,Private Citizens & Property,Unknown,Melee,22,0
66032,199707270006,1997,7,27,Algeria,Middle East & North Africa,,Larba,36.565220000000004,3.153934,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,44,0
66041,199707290004,1997,7,29,Algeria,Middle East & North Africa,,Metmata,33.454186,9.768991,,Private Citizens & Property,Islamist extremists,Melee,45,0
66042,199707290005,1997,7,29,Algeria,Middle East & North Africa,,Sidi Bel Abbes,35.2,-0.633333,,Business,Unknown,Explosives/Bombs/Dynamite,1,11
