year,injuries,fatalities,region,count
1977,0,0,Sub-Saharan Africa,1
1978,40,0,Sub-Saharan Africa,2
1979,30,19,Sub-Saharan Africa,3
1981,0,3,Sub-Saharan Africa,1
1982,0,2,Sub-Saharan Africa,2
1983,349,282,Sub-Saharan Africa,7
1984,70,179,Sub-Saharan Africa,11
1985,0,6,Sub-Saharan Africa,6
1986,23,119,Sub-Saharan Africa,5
1987,10,5,Sub-Saharan Africa,3
1988,138,145,Sub-Saharan Africa,12
1989,10,88,Sub-Saharan Africa,12
1990,217,147,Sub-Saharan Africa,205
1991,75,69,Sub-Saharan Africa,16
1992,56,97,Sub-Saharan Africa,50
1994,75,108,Sub-Saharan Africa,9
1995,26,52,Sub-Saharan Africa,10
1996,6,18,Sub-Saharan Africa,4
1997,32,34,Sub-Saharan Africa,7
1998,47,275,Sub-Saharan Africa,20
1999,299,299,Sub-Saharan Africa,34
2000,43,178,Sub-Saharan Africa,22
2001,474,846,Sub-Saharan Africa,40
2002,17,59,Sub-Saharan Africa,6
2009,0,2,Sub-Saharan Africa,1
2010,7,4,Sub-Saharan Africa,2
2016,0,0,Sub-Saharan Africa,2
