,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
41072,199001090001,1990,1,9,Angola,Sub-Saharan Africa,Luanda,Luanda,-8.838837,13.235582,,Police,Unknown,Explosives/Bombs/Dynamite,0,3
41128,199001150001,1990,1,15,Angola,Sub-Saharan Africa,Cuanza Sul,Gabela,-10.847674000000001,14.366217,,Private Citizens & Property,National Union for the Total Independence of Angola (UNITA),Explosives/Bombs/Dynamite,0,0
41231,199001260001,1990,1,26,Angola,Sub-Saharan Africa,Moxico,Luena,-11.792588,19.906596,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
41232,199001260002,1990,1,26,Angola,Sub-Saharan Africa,Moxico,Luena,-11.792588,19.906596,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
41233,199001260003,1990,1,26,Angola,Sub-Saharan Africa,Moxico,Luena,-11.792588,19.906596,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
41368,199002120001,1990,2,12,Angola,Sub-Saharan Africa,Luanda,Cacuaco,-8.776715,13.371194000000001,,Food or Water Supply,National Union for the Total Independence of Angola (UNITA),Explosives/Bombs/Dynamite,0,0
41403,199002150001,1990,2,15,Angola,Sub-Saharan Africa,Benguela,Benguela,-12.590425999999999,13.416201999999998,,Transportation,National Union for the Total Independence of Angola (UNITA),Explosives/Bombs/Dynamite,0,0
41404,199002150002,1990,2,15,Angola,Sub-Saharan Africa,Benguela,Benguela,-12.590425999999999,13.416201999999998,,Transportation,National Union for the Total Independence of Angola (UNITA),Explosives/Bombs/Dynamite,2,0
41637,199003130001,1990,3,13,Angola,Sub-Saharan Africa,Unknown,Gove,,,,Utilities,National Union for the Total Independence of Angola (UNITA),Explosives/Bombs/Dynamite,0,0
41645,199003140003,1990,3,14,Angola,Sub-Saharan Africa,Cuando Cubango,Mavinga,-15.788504000000001,20.363095,,Military,National Union for the Total Independence of Angola (UNITA),Firearms,0,0
41668,199003160001,1990,3,16,Angola,Sub-Saharan Africa,Luanda,Luanda,-8.838837,13.235582,,Private Citizens & Property,National Union for the Total Independence of Angola (UNITA),Explosives/Bombs/Dynamite,2,11
41981,199004040001,1990,4,4,Angola,Sub-Saharan Africa,Luanda,Luanda,-8.838837,13.235582,,Food or Water Supply,National Union for the Total Independence of Angola (UNITA),Explosives/Bombs/Dynamite,0,0
41982,199004040002,1990,4,4,Angola,Sub-Saharan Africa,Luanda,Luanda,-8.838837,13.235582,,Food or Water Supply,National Union for the Total Independence of Angola (UNITA),Explosives/Bombs/Dynamite,0,0
