year,injuries,fatalities,region,count
1970,2,5,South America,21
1971,0,5,South America,7
1972,0,5,South America,15
1973,4,16,South America,60
1974,12,21,South America,71
1975,16,123,South America,38
1976,90,122,South America,54
1977,12,7,South America,17
1978,11,13,South America,25
1979,12,11,South America,16
1980,1,0,South America,6
1981,0,0,South America,2
1982,0,1,South America,9
1983,3,1,South America,18
1984,4,1,South America,46
1985,10,2,South America,43
1986,12,2,South America,33
1987,11,3,South America,80
1988,20,1,South America,33
1989,17,26,South America,32
1990,1,1,South America,31
1991,7,1,South America,27
1992,224,32,South America,41
1994,266,86,South America,14
1995,1,0,South America,16
1996,12,1,South America,19
1997,2,3,South America,11
1999,0,0,South America,1
2001,1,0,South America,2
2003,0,0,South America,1
2005,0,0,South America,3
2009,0,0,South America,1
2010,0,0,South America,5
2011,0,0,South America,1
2012,0,0,South America,2
2013,2,0,South America,2
2015,0,0,South America,1
2016,2,0,South America,2
