,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
29937,198701210002,1987,1,21,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
29938,198701210003,1987,1,21,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
30192,198702260001,1987,2,26,Argentina,South America,Mendoza,Mendoza,-32.890271999999996,-68.844034,,Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
30305,198703050003,1987,3,5,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Military,Unknown,Explosives/Bombs/Dynamite,0,0
30421,198703190002,1987,3,19,Argentina,South America,Entre Rios,Parana,-31.741259999999997,-60.511264000000004,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,3
30439,198703210001,1987,3,21,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Military,Active Espirit de Corps of the Argentina Army,Explosives/Bombs/Dynamite,0,0
30446,198703220005,1987,3,22,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,0
30498,198703300001,1987,3,30,Argentina,South America,Buenos Aires,Bahia Blanca,-38.713081,-62.268631000000006,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
30507,198704010001,1987,4,1,Argentina,South America,Buenos Aires,Bahia Blanca,-38.713081,-62.268631000000006,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
30508,198704010002,1987,4,1,Argentina,South America,Buenos Aires,San Justo,-34.687416999999996,-58.563226,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
30520,198704020006,1987,4,2,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
30521,198704020007,1987,4,2,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
30522,198704020008,1987,4,2,Argentina,South America,Buenos Aires,Mar del Plata,-37.997567,-57.548230000000004,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
30528,198704030002,1987,4,3,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
30535,198704040001,1987,4,4,Argentina,South America,Santa Fe,Rosario,-32.951052000000004,-60.666365,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
30694,198704190001,1987,4,19,Argentina,South America,Cordoba,Cordoba,-31.399301,-64.182129,,NGO,Unknown,Explosives/Bombs/Dynamite,0,0
30756,198704230012,1987,4,23,Argentina,South America,Buenos Aires,San Nicolas de los Arroyos,-33.333465999999994,-60.211029,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
30886,198705080001,1987,5,8,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Military,Unknown,Explosives/Bombs/Dynamite,0,0
30928,198705140004,1987,5,14,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
31001,198705220002,1987,5,22,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
31002,198705220003,1987,5,22,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
31003,198705220004,1987,5,22,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
31048,198705280001,1987,5,28,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,3
31071,198706020001,1987,6,2,Argentina,South America,Buenos Aires,Buenos Aires,-34.6037,-58.381503,,Government (General),Unknown,Incendiary,0,0
