year,injuries,fatalities,region,count
1970,0,0,Australasia & Oceania,1
1971,0,0,Australasia & Oceania,1
1972,0,1,Australasia & Oceania,2
1974,0,0,Australasia & Oceania,1
1978,9,2,Australasia & Oceania,2
1979,9,0,Australasia & Oceania,2
1980,3,2,Australasia & Oceania,6
1981,0,1,Australasia & Oceania,1
1982,3,0,Australasia & Oceania,2
1986,22,1,Australasia & Oceania,2
1988,0,0,Australasia & Oceania,3
1989,0,0,Australasia & Oceania,2
1991,0,0,Australasia & Oceania,4
1992,4,1,Australasia & Oceania,4
1994,8,3,Australasia & Oceania,9
1995,0,0,Australasia & Oceania,5
1996,1,2,Australasia & Oceania,5
1997,23,0,Australasia & Oceania,4
1998,2,0,Australasia & Oceania,6
2000,0,0,Australasia & Oceania,1
2001,0,0,Australasia & Oceania,2
2006,0,0,Australasia & Oceania,2
2008,0,0,Australasia & Oceania,3
2009,0,0,Australasia & Oceania,1
2010,0,0,Australasia & Oceania,1
2013,0,0,Australasia & Oceania,1
2014,7,4,Australasia & Oceania,8
2015,0,2,Australasia & Oceania,14
2016,1,0,Australasia & Oceania,9
