,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
143137,201501240090,2015,1,24,Australia,Australasia & Oceania,Queensland,Toowoomba,-27.581561999999998,151.93383400000002,"01/24/2015: A fire was set next to a mosque in Harristown neighborhood, Toowoomba town, Queensland state, Australia. There were no reported casualties; it is unknown if the mosque was damaged by the fire. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
145967,201503300083,2015,3,30,Australia,Australasia & Oceania,Victoria,Brighton,-37.898215,144.995554,"03/30/2015: Assailants set fire to St. James Church on North Road in Brighton, Victoria, Australia. There were no reported casualties but the church was damaged in the incident. This was one of two attacks targeting churches in Victoria on the same day. No group claimed responsibility for the incidents.",Religious Figures/Institutions,Unknown,Incendiary,0,0
145968,201503300084,2015,3,30,Australia,Australasia & Oceania,Victoria,St. Kilda East,-37.858684000000004,144.99633799999998,"03/30/2015: Assailants set fire to St. Mary's Church on Dandenong Road in St. Kilda East, Victoria, Australia. There were no reported casualties but the church was damaged in the incident. This was one of two attacks targeting churches in Victoria on the same day. No group claimed responsibility for the incidents.",Religious Figures/Institutions,Unknown,Incendiary,0,0
146041,201504010112,2015,4,1,Australia,Australasia & Oceania,Victoria,Dandenong,-37.988975,145.217452,"04/01/2015: Assailants set fire to St. Mary's Church on Foster Street in Dandenong, Victoria, Australia. There were no reported casualties but the church was damaged in the attack. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
146134,201504030095,2015,4,3,Australia,Australasia & Oceania,Victoria,Melbourne,-37.789922,145.170775,"04/03/2015: Assailants set fire to St. David's Church on Doncaster Road in Melbourne, Australia. There were no reported casualties but the church was damaged in the attack. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
146660,201504170084,2015,4,17,Australia,Australasia & Oceania,Queensland,Toowoomba,-27.564238,151.947275,"04/17/2015: Assailants set fire to a mosque in Toowoomba city, Queensland state, Australia. No casualties were reported. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
147915,201505170064,2015,5,17,Australia,Australasia & Oceania,Tasmania,Hobart,-42.884049,147.32371899999998,"05/17/2015: Assailants set fire to a nightclub in Hobart city, Tasmania, Australia. No casualties were reported. No group claimed responsibility for the incident.",Business,Unknown,Incendiary,0,0
150406,201507170050,2015,7,17,Australia,Australasia & Oceania,New South Wales,Sydney,-33.829658,151.117538,"07/17/2015: An explosive device was found and defused outside the home of Brad Haddin, a cricket player, in Tennyson Point suburb, Sydney, Australia. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
153388,201510020040,2015,10,2,Australia,Australasia & Oceania,New South Wales,Parramatta,-33.815129,151.003278,"10/02/2015: An assailant opened fire on a civilian police employee outside a police headquarters in Parramatta city, Sydney region, New South Wales province, Australia. The civilian employee, Curtis Cheng, and the assailant were killed in the assault. No group claimed responsibility; however, sources identified the attacker as Farad Jabar Khalil Mohammad.",Police,Jihadi-inspired extremists,Firearms,2,0
153938,201510150067,2015,10,14,Australia,Australasia & Oceania,Victoria,Bannockburn,-38.047645,144.17003200000002,"10/14/2015: Assailants set fire to St. John the Evangelist church in Bannockburn, Victoria, Australia. No casualties were reported in the attack. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
155420,201511210064,2015,11,21,Australia,Australasia & Oceania,New South Wales,Orange,-33.283013000000004,149.100151,"11/21/2015: Assailants threw Molotov cocktails at the Heatherbrae Parade church in Orange, New South Wales, Australia. There were no reported casualties. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
155513,201511230093,2015,11,23,Australia,Australasia & Oceania,New South Wales,Orange,-33.283013000000004,149.100151,"11/23/2015: Assailants threw Molotov cocktails at St. Peter's Lutheran Church in Orange, New South Wales, Australia. There were no reported casualties. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
155937,201512050036,2015,12,5,Australia,Australasia & Oceania,Victoria,Norlane,-38.091417,144.357575,"12/05/2015: Assailants set fire to St. Peter's Chains church on Sparks road in Norlane, Victoria, Australia. No casualties were reported in the attack. This was one of two related attacks on this day. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
155938,201512050037,2015,12,5,Australia,Australasia & Oceania,Victoria,Norlane,-38.094181,144.3571,"12/05/2015: Assailants set fire to the Norlane Baptist Church on Spruhan Avenue, Norlane, Victoria, Australia. No casualties were reported in the attack. This was one of two related attacks on this day. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Incendiary,0,0
