year,injuries,fatalities,region,count
1972,5,4,Western Europe,2
1973,0,0,Western Europe,2
1974,0,0,Western Europe,1
1975,11,4,Western Europe,2
1976,0,0,Western Europe,4
1977,1,1,Western Europe,5
1978,0,0,Western Europe,1
1979,6,0,Western Europe,5
1980,8,0,Western Europe,2
1981,20,3,Western Europe,3
1982,0,0,Western Europe,11
1984,1,2,Western Europe,4
1985,50,4,Western Europe,4
1986,0,0,Western Europe,4
1987,1,0,Western Europe,4
1988,1,0,Western Europe,1
1989,0,3,Western Europe,2
1990,0,0,Western Europe,1
1991,0,0,Western Europe,3
1992,1,0,Western Europe,8
1994,3,0,Western Europe,5
1995,6,6,Western Europe,12
1996,1,0,Western Europe,4
1997,0,0,Western Europe,1
1998,0,0,Western Europe,1
2006,0,0,Western Europe,1
2007,0,0,Western Europe,1
2008,0,0,Western Europe,7
2009,9,1,Western Europe,3
2011,0,0,Western Europe,1
2013,2,0,Western Europe,1
2016,0,0,Western Europe,3
