,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
58336,199502040003,1995,2,4,Austria,Western Europe,Burgenland,Oberwart,47.29482,16.19914,,Private Citizens & Property,Neo-Nazi extremists,Explosives/Bombs/Dynamite,4,0
58357,199502060007,1995,2,6,Austria,Western Europe,Burgenland,Stinatz,47.20281,16.13232,,Tourists,Neo-Nazi extremists,Explosives/Bombs/Dynamite,0,1
58413,199502130009,1995,2,13,Austria,Western Europe,Vienna,Vienna,48.208174,16.373819,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,1
58426,199502140011,1995,2,14,Austria,Western Europe,Salzburg,Salzburg,47.809490000000004,13.055010000000001,,Tourists,Neo-Nazi extremists,Fake Weapons,0,0
58776,199503230001,1995,3,23,Austria,Western Europe,Vorarlberg,Bregenz,47.50075,9.74231,,Private Citizens & Property,Kurdistan Workers' Party (PKK),Incendiary,0,0
58930,199504140003,1995,4,14,Austria,Western Europe,Vienna,Vienna,48.208174,16.373819,,Utilities,Left-Wing Militants,Explosives/Bombs/Dynamite,2,0
58940,199504150002,1995,4,15,Austria,Western Europe,Vienna,Vienna,48.208174,16.373819,,Airports & Aircraft,Devrimici Halk Kurtulus Cephesi (DHKP/C),Incendiary,0,0
59443,199506090006,1995,6,9,Austria,Western Europe,Upper Austria,Linz,48.306940000000004,14.285829999999999,,Business,Belarusian Liberation Army,Explosives/Bombs/Dynamite,0,2
60611,199510160012,1995,10,16,Austria,Western Europe,Lower Austria,Poysdorf,48.667809999999996,16.628079999999997,,Private Citizens & Property,Neo-Nazi extremists,Explosives/Bombs/Dynamite,0,1
60612,199510160013,1995,10,16,Austria,Western Europe,Lower Austria,Stronsdorf,48.65197,16.298939999999998,,Private Citizens & Property,Neo-Nazi extremists,Explosives/Bombs/Dynamite,0,1
61021,199512110007,1995,12,11,Austria,Western Europe,Styria,Graz,47.070714,15.439504000000001,,Private Citizens & Property,Neo-Nazi extremists,Explosives/Bombs/Dynamite,0,0
61103,199512200006,1995,12,20,Austria,Western Europe,Salzburg,Salzburg,47.809490000000004,13.055010000000001,,Transportation,Cell for Internationalism,Incendiary,0,0
