,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
49640,199201080004,1992,1,8,Azerbaijan,Central Asia,,Baku,40.43495,49.867622999999995,,Maritime,Unknown,Explosives/Bombs/Dynamite,12,20
49888,199201280004,1992,1,28,Azerbaijan,Central Asia,,Shushi,39.756516999999995,46.747628000000006,,Private Citizens & Property,Armenian Guerrillas,Explosives/Bombs/Dynamite,47,0
50322,199203050008,1992,3,5,Azerbaijan,Central Asia,,Karintak,39.742317,46.746021999999996,,Private Citizens & Property,Azerbaijan Guerrillas,Firearms,20,0
50323,199203050009,1992,3,5,Azerbaijan,Central Asia,,Ghazanchi,40.067703,46.751188,,Private Citizens & Property,Azerbaijan Guerrillas,Firearms,27,0
50324,199203050010,1992,3,5,Azerbaijan,Central Asia,,Kichan,40.061638,46.673309,,Private Citizens & Property,Azerbaijan Guerrillas,Firearms,15,0
50325,199203050011,1992,3,5,Azerbaijan,Central Asia,,Askeran,39.936669,46.832803000000006,,Private Citizens & Property,Azerbaijan Guerrillas,Firearms,0,0
50443,199203130009,1992,3,13,Azerbaijan,Central Asia,,Nagorno-Karabakh,,,,Private Citizens & Property,Armenian Guerrillas,Firearms,50,0
50704,199203270008,1992,3,27,Azerbaijan,Central Asia,,Stepanaket,39.829805,46.759851,,Airports & Aircraft,Azerbaijan Guerrillas,Firearms,0,10
50970,199204140001,1992,4,14,Azerbaijan,Central Asia,,Stepanaket,39.829805,46.759851,,Government (General),Unknown,Firearms,1,0
51049,199204220001,1992,4,22,Azerbaijan,Central Asia,,Nagorno-Karabakh,,,,Transportation,Unknown,Explosives/Bombs/Dynamite,14,20
51380,199205150010,1992,5,15,Azerbaijan,Central Asia,,Baku,40.43495,49.867622999999995,,Government (General),Opposition Group,Firearms,0,0
51550,199205260016,1992,5,26,Azerbaijan,Central Asia,,Kurdamir,40.338309,48.160792,,Military,Azerbaijan Guerrillas,Firearms,0,0
