year,injuries,fatalities,region,count
1979,0,0,Middle East & North Africa,1
1980,0,0,Middle East & North Africa,1
1991,0,1,Middle East & North Africa,1
1994,3,0,Middle East & North Africa,1
1995,2,1,Middle East & North Africa,8
1996,15,8,Middle East & North Africa,16
1997,2,5,Middle East & North Africa,11
2003,0,0,Middle East & North Africa,1
2006,0,0,Middle East & North Africa,1
2008,2,1,Middle East & North Africa,1
2010,0,0,Middle East & North Africa,2
2011,0,0,Middle East & North Africa,1
2012,37,4,Middle East & North Africa,26
2013,39,3,Middle East & North Africa,52
2014,39,9,Middle East & North Africa,42
2015,22,5,Middle East & North Africa,18
2016,2,1,Middle East & North Africa,3
