,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
113587,201301160038,2013,1,16,Bahrain,Middle East & North Africa,Central,Sitra,26.162526,50.6119,"01/16/2013: Assailants set fire to five vehicles owned by a family in Sitra, Central, Bahrain. There were no reported injuries resulting from the fire, although the vehicles were destroyed. The family said they were targeted because two members work for the police. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Incendiary,0,0
113938,201301300008,2013,1,30,Bahrain,Middle East & North Africa,Capital,Jidhafs,26.219210999999998,50.532633000000004,"01/30/2013: An explosive device detonated on Budaiya Highway in Jidhafs city, Capital, Bahrain. A police vehicle was struck and three police officers were wounded. There was no claim of responsibility for this attack.",Police,Unknown,Explosives/Bombs/Dynamite,0,3
114253,201302120027,2013,2,12,Bahrain,Middle East & North Africa,Central,Isa Town,26.173610999999998,50.547778,"02/12/2013: A remote-controlled explosive device detonated at a market in Isa Town, Central governorate, Bahrain. No one was injured in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
114296,201302140025,2013,2,14,Bahrain,Middle East & North Africa,Unknown,Unknown,,,02/14/2013: A two kilogram pressure cooker bomb was found and defused by security forces near a mosque on the King Fahad Causeway in Bahrain. No group claimed responsibility for the incident.,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
114305,201302140045,2013,2,14,Bahrain,Middle East & North Africa,Capital,Manama,26.216666999999998,50.583333,"02/14/2013: A car was set on fire on Roundabout 18 in Hamad Town area of Manama city, Capital governorate, Bahrain. There were no reports of casualties in the attack. No group claimed responsibility for the incident; however, authorities arrested five individuals in connection with the arson attack that they claim are members of the February 14th Movement.",Private Citizens & Property,Unknown,Incendiary,0,0
114410,201302180014,2013,2,18,Bahrain,Middle East & North Africa,Central,Sitra,26.162717999999998,50.611959999999996,"02/18/2013: A building housing two car dealerships and a car battery shop was set on fire in Sitra, Central governorate, Bahrain. There were no reported casualties resulting from the attack; however, approximately 15 cars were destroyed in the fire, which was believed to have been set deliberately. No group claimed responsibility for the incident.",Business,Unknown,Incendiary,0,0
114418,201302180030,2013,2,18,Bahrain,Middle East & North Africa,Central,Sanad,26.150199,50.582401000000004,"02/18/2013: An explosive device detonated inside an automated teller machine (ATM) in Sanad, Central, Bahrain. There were no reported casualties, although the blast resulted in material damage. Sources attrtibute the attack to the February 14th Movement.",Business,February 14th Movement,Explosives/Bombs/Dynamite,0,0
114840,201303070007,2013,3,7,Bahrain,Middle East & North Africa,Central,Ma'ameer,26.134677,50.613255,"03/07/2013: Assailants set fire to the Ma'ameer Primary School for Boys in Ma'ameer village, Central governorate, Bahrain. Classroom furniture, air conditioning equipment, and window panes were damaged in the attack; however, no one was hurt. No group claimed responsibility for the incident.",Educational Institution,Unknown,Incendiary,0,0
114841,201303070008,2013,3,7,Bahrain,Middle East & North Africa,Northern,Duraz,26.216666999999998,50.466667,"03/07/2013: Assailants threw incendiary devices at the Duraz Intermediate School for Girls in Duraz village, Northern governorate, Bahrain. No one was hurt in the attack and it is unknown if the school suffered any damage. No group claimed responsibility for the incident.",Educational Institution,Unknown,Incendiary,0,0
114842,201303070009,2013,3,7,Bahrain,Middle East & North Africa,Central,Nuwaidrat,26.133333,50.6,"03/07/2013: Assailants set fire to the main gate of the Nuwaidrat Primary School for Girls in Nuwaidrat village, Central governorate, Bahrain. No one was hurt in the attack; however, the main gate to the school suffered fire damage. No group claimed responsibility for the incident.",Educational Institution,Unknown,Incendiary,0,0
114892,201303090007,2013,3,9,Bahrain,Middle East & North Africa,Capital,Sanabis,26.226559,50.54591,"03/09/2013: An explosion occurred near the Ahli United Bank in Sanabis village, Capital governorate, Bahrain. No one was injured in the blast. No group claimed responsibility for the attack.",Business,Unknown,Explosives/Bombs/Dynamite,0,0
114988,201303130012,2013,3,13,Bahrain,Middle East & North Africa,Central,Nuwaidrat,26.133333,50.6,"03/13/2013: An explosive device hidden in a cardboard box targeted a police patrol in Nuwaidrat, Central governorate, Bahrain. No one was injured in the blast. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,0
114989,201303130013,2013,3,13,Bahrain,Middle East & North Africa,Northern,Hamad,26.116667,50.5,"03/13/2013: An explosive device targeted a police patrol in Hamad Town, Northern governorate, Bahrain. No one was injured in the blast. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,0
