year,injuries,fatalities,region,count
1977,1,0,South Asia,1
1979,0,0,South Asia,1
1980,80,6,South Asia,1
1981,2,6,South Asia,1
1982,4,0,South Asia,1
1984,0,1,South Asia,1
1985,13,0,South Asia,1
1986,263,54,South Asia,11
1987,2,26,South Asia,6
1988,166,87,South Asia,36
1989,196,131,South Asia,36
1990,132,66,South Asia,22
1991,454,69,South Asia,42
1992,491,101,South Asia,76
1994,657,30,South Asia,68
1995,892,35,South Asia,74
1996,1463,89,South Asia,161
1997,349,14,South Asia,17
1998,1,0,South Asia,2
1999,185,30,South Asia,11
2000,34,10,South Asia,22
2001,258,57,South Asia,15
2002,440,21,South Asia,5
2003,13,3,South Asia,4
2004,234,33,South Asia,11
2005,401,43,South Asia,22
2006,57,19,South Asia,23
2007,10,1,South Asia,9
2008,48,9,South Asia,19
2009,46,18,South Asia,27
2010,28,15,South Asia,22
2011,6,9,South Asia,13
2012,32,8,South Asia,18
2013,117,16,South Asia,139
2014,114,38,South Asia,130
2015,720,86,South Asia,469
2016,90,76,South Asia,88
