,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
142079,201501020073,2015,1,2,Bangladesh,South Asia,Sylhet,Sylhet,24.912089,91.850123,"01/02/2015: Assailants threw an explosive device at the vehicle of former mayor and city Awami League (AL) president Badar Uddin Ahmed Kamran in Sylhet city, Sylhet division, Bangladesh. The device missed the vehicle and detonated without any casualties or damages. No group claimed responsibility; however, authorities attributed the attack to the Jatiyatabadi Chhatra Dal (JCD), a sub-group of the Bangladesh Nationalist Party (BNP), stating that they had demanded cases be withdrawn against BNP members.",Government (General),Bangladesh Nationalist Party (BNP),Explosives/Bombs/Dynamite,0,0
142151,201501040017,2015,1,4,Bangladesh,South Asia,Dhaka,Dhaka,23.781835,90.418485,"01/04/2015: An explosive device detonated in front of the Dhaka Tribune office in Dhaka city, Dhaka division, Bangladesh. No one was injured in the blast. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
142161,201501040028,2015,1,4,Bangladesh,South Asia,Dhaka,Dhaka,23.781835,90.418485,"01/04/2015: Assailants threw an explosive device at a local leader of Krishak Sramik Janata League during a arbitration meeting in Dhaka city, Dhaka division, Bangladesh. The leader, Idris-ur-Rahman, was killed and at least four other people were wounded in the blast. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,4
142173,201501040053,2015,1,4,Bangladesh,South Asia,Dhaka,Dhaka,23.742684,90.38839899999999,"01/04/2015: Two explosive devices detonated at the Easter Plaza shopping complex in Hatirpool area, Dhaka city, Dhaka division, Bangladesh. A civilian, identified as Nurul Islam, was injured in the blasts. No group claimed responsibility for the incident.",Business,Unknown,Explosives/Bombs/Dynamite,0,1
142174,201501040054,2015,1,4,Bangladesh,South Asia,Dhaka,Dhaka,23.732246,90.410751,"01/04/2015: Two explosive devices detonated near the Paltan Jam-e Mosque in Purana Paltan area, Dhaka city, Dhaka division, Bangladesh. No one was injured in the blasts. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
142214,201501050049,2015,1,5,Bangladesh,South Asia,Dhaka,Dhaka,23.718198,90.400728,"01/05/2015: Assailants set fire to a Bangladesh Nationalist Party (BNP) office in Bangshal area, Dhaka city, Dhaka division, Bangladesh. There were no reported casualties, but the office was damaged by the blaze. No group claimed responsibility; however, a source suspected the involvement of Awami League (AL) activists.",Violent Political Party,Awami League,Incendiary,0,0
142215,201501050050,2015,1,5,Bangladesh,South Asia,Dhaka,Dhaka,23.718487,90.41045600000001,"01/05/2015: At least three explosive devices detonated near the Suritola overpass in Dhaka city, Dhaka division, Bangladesh. There were no reported casualties from the blasts. No group claimed responsibility; however, a source suspected the involvement of Awami League (AL) activists.",Unknown,Awami League,Explosives/Bombs/Dynamite,0,0
142222,201501050064,2015,1,5,Bangladesh,South Asia,Chittagong,Khejur Chattar,23.015022000000002,91.39850899999999,"01/05/2015: Assailants threw an explosive device at two civilians in Khejur Chattar area, Feni town, Chittagong division, Bangladesh. Both civilians were wounded in the blast. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,2
142284,201501070041,2015,1,7,Bangladesh,South Asia,Dhaka,Dhaka,23.781835,90.418485,"01/07/2015: Explosive devices detonated outside a hotel as a procession of Awami League (AL) activists passed through the area in Dhaka city, Dhaka division, Bangladesh. There were no casualties or damages in the blast. No group claimed responsibility for the incident.",Violent Political Party,Unknown,Explosives/Bombs/Dynamite,0,0
142311,201501070090,2015,1,7,Bangladesh,South Asia,Dhaka,Dhaka,23.741159,90.415464,"01/07/2015: Assailants threw at least four explosive devices at a bus in Rajarbagh area, Dhaka city, Dhaka division, Bangladesh. The conductor, identified as Mohamma Arif, was injured and the bus was damaged in the attack. No group claimed responsibility for the incident.",Transportation,Unknown,Explosives/Bombs/Dynamite,0,1
142355,201501080062,2015,1,8,Bangladesh,South Asia,Dhaka,Dhaka,23.745936999999998,90.376489,"01/08/2015: Two assailants threw two explosive devices targeting the residence of Justice Abu Taher Md Saifur Rahman, a High Court judge, in Dhanmondi area, Dhaka city, Dhaka division, Bangladesh. The devices, however, landed inside the compound of Justice Gobinda Tagore, another High Court judge, which was adjacent to Rahman's residence. No one was injured in the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
142356,201501080064,2015,1,8,Bangladesh,South Asia,Chittagong,Mohammadpur,22.945389000000002,91.249391,"01/08/2015: Assailants set fire to the house of Justice Quazi Reza-Ul Hoque in Mohammadpur village, Dhalia union, Feni Sadar upazila, Feni district, Chittagong division, Bangladesh. Reza-Ul Hoque, a High Court judge, was unharmed and there were no other reported casualties. No group claimed responsibility for the incident.",Government (General),Unknown,Incendiary,0,0
142362,201501080072,2015,1,8,Bangladesh,South Asia,Chittagong,Laxmipur,22.943680999999998,90.83659,"01/08/2015: Assailants armed with iron rods attacked Mohammad Yusuf and his two brothers in Laxmipur area, Chittagong division, Bangladesh. Yusuf, the president of the Anderchar union of the Jubo League, was killed and his two brothers were injured in the assault. No group claimed responsibility for the incident.",Violent Political Party,Unknown,Melee,1,2
142366,201501080080,2015,1,8,Bangladesh,South Asia,Sylhet,Kulaura,24.522975,92.036928,"01/08/2015: Assailants removed railway tracks in Kulaura area, Moulvibazar district, Sylhet division, Bangladesh. The act caused the derailment of an Udayan Express train; 50 passengers were injured as a result of the attack. No group claimed responsibility; however, sources attributed the incident to pro-hartal activists.",Transportation,Pro Hartal Activists,Sabotage Equipment,0,50
142367,201501080083,2015,1,8,Bangladesh,South Asia,Rajshahi,Chapai Nawabganj district,24.579720000000002,88.27045,"01/08/2015: Assailants threw an incendiary device at a stone-laden truck in Shibtala area, Chapai Nawabganj district, Rajshahi division, Bangladesh. The driver and a helper were injured in the attack. No group claimed responsibility; however, sources attributed the incident to pro-hartal activists.",Business,Pro Hartal Activists,Incendiary,0,2
142368,201501080084,2015,1,8,Bangladesh,South Asia,Rajshahi,Mohodipur,24.608869,88.231626,"01/08/2015: Assailants set fire to a truck at a gas station in Mohodipur area, Chapai Nawabganj district, Rajshahi division, Bangladesh. The assailants then threw multiple explosive devices at police officials who were responding to the act; a police constable was injured in the attack. No group claimed responsibility; however, sources attributed the incident to pro-hartal activists.",Business,Pro Hartal Activists,Explosives/Bombs/Dynamite,0,1
