year,injuries,fatalities,region,count
1970,0,0,Western Europe,1
1972,1,0,Western Europe,1
1973,0,0,Western Europe,1
1974,1,0,Western Europe,5
1976,0,0,Western Europe,1
1977,0,0,Western Europe,1
1978,0,1,Western Europe,8
1979,42,1,Western Europe,8
1980,20,2,Western Europe,8
1981,97,6,Western Europe,6
1982,4,0,Western Europe,1
1983,7,2,Western Europe,8
1984,1,0,Western Europe,10
1985,20,10,Western Europe,21
1986,2,0,Western Europe,3
1987,0,1,Western Europe,1
1988,0,1,Western Europe,5
1989,3,4,Western Europe,7
1990,0,2,Western Europe,2
1991,0,1,Western Europe,6
1992,0,1,Western Europe,9
1994,16,0,Western Europe,5
1995,0,0,Western Europe,1
1997,0,4,Western Europe,2
1998,0,0,Western Europe,3
1999,0,0,Western Europe,2
2002,0,0,Western Europe,3
2003,20,0,Western Europe,8
2007,0,0,Western Europe,1
2009,0,0,Western Europe,1
2012,1,1,Western Europe,1
2014,3,4,Western Europe,2
2016,276,36,Western Europe,6
