,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
24106,198501140009,1985,1,14,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Military,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,1
24115,198501150003,1985,1,15,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Military,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,0
24738,198504200001,1985,4,20,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,NGO,Proletarian Revolutionary Action Front (FRAP),Explosives/Bombs/Dynamite,0,2
24739,198504210001,1985,4,21,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Business,Proletarian Revolutionary Action Front (FRAP),Explosives/Bombs/Dynamite,0,0
24809,198505010013,1985,5,1,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Private Citizens & Property,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,2,12
24874,198505060002,1985,5,6,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Police,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,0
25451,198506220001,1985,6,22,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Business,Peace Conquerors,Explosives/Bombs/Dynamite,0,0
26298,198510070015,1985,10,7,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Business,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,0
26340,198510120001,1985,10,12,Belgium,Western Europe,Wallonia,Charleroi,50.412431,4.443722,,Business,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,0
26355,198510150004,1985,10,15,Belgium,Western Europe,Wallonia,Dour,50.39633,3.7814349999999997,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
26386,198510200003,1985,10,20,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Government (General),Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,0
26491,198511040001,1985,11,4,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Business,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,1
26492,198511040002,1985,11,4,Belgium,Western Europe,Wallonia,Charleroi,50.412431,4.443722,,Business,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,1
26497,198511050002,1985,11,5,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Business,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,0
26498,198511050003,1985,11,5,Belgium,Western Europe,Flanders,Louvain,50.883098,4.699611,,Business,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,0
26539,198511090001,1985,11,9,Belgium,Western Europe,Flanders,Aalst,50.9341,4.04513,,Business,Crazy Brabant Killers,Firearms,7,3
26610,198511210001,1985,11,21,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Business,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,0
26744,198512040003,1985,12,4,Belgium,Western Europe,Flanders,Antwerp,51.219062,4.40289,,Business,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,0
26748,198512060001,1985,12,6,Belgium,Western Europe,Flanders,Wortegem,50.85304,3.50797,,Utilities,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,0
26749,198512060002,1985,12,6,Belgium,Western Europe,Brussels,Brussels,50.850335,4.351685,,Utilities,Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,0,0
26750,198512060003,1985,12,6,Belgium,Western Europe,Wallonia,Liege,50.632557,5.5796660000000005,,Government (General),Communist Combattant Cells (CCC) (Belgium),Explosives/Bombs/Dynamite,1,0
