year,injuries,fatalities,region,count
1970,0,0,South America,1
1971,0,0,South America,2
1974,0,0,South America,1
1976,0,0,South America,1
1977,0,0,South America,1
1978,0,0,South America,3
1979,7,0,South America,14
1980,51,11,South America,35
1981,1,1,South America,5
1982,1,0,South America,27
1983,3,0,South America,27
1984,3,1,South America,14
1985,0,0,South America,13
1986,0,1,South America,4
1987,25,1,South America,14
1988,0,2,South America,11
1989,0,2,South America,40
1990,33,6,South America,11
1991,1,7,South America,28
1992,4,5,South America,38
1994,21,1,South America,8
1995,0,0,South America,2
1996,0,0,South America,1
1997,7,4,South America,4
2003,0,0,South America,1
2005,0,0,South America,1
2007,0,0,South America,3
2009,7,0,South America,3
2012,2,0,South America,1
