,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
36702,198901040012,1989,1,4,Bolivia,South America,Santa Cruz,Santa Cruz,-17.783219,-63.182042,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
36714,198901060006,1989,1,6,Bolivia,South America,Santa Cruz,Santa Cruz,-17.783219,-63.182042,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
36715,198901060007,1989,1,6,Bolivia,South America,La Paz,La Paz,-16.500194,-68.150162,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37513,198903140005,1989,3,14,Bolivia,South America,La Paz,La Paz,-16.500194,-68.150162,,Violent Political Party,Unknown,Explosives/Bombs/Dynamite,0,0
37514,198903140006,1989,3,14,Bolivia,South America,La Paz,La Paz,-16.500194,-68.150162,,Violent Political Party,Unknown,Explosives/Bombs/Dynamite,0,0
37515,198903140007,1989,3,14,Bolivia,South America,La Paz,La Paz,-16.500194,-68.150162,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37516,198903140008,1989,3,14,Bolivia,South America,La Paz,La Paz,-16.500194,-68.150162,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37517,198903140009,1989,3,14,Bolivia,South America,La Paz,La Paz,-16.500194,-68.150162,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37518,198903140010,1989,3,14,Bolivia,South America,La Paz,El Alto,-16.501004000000002,-68.213926,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37519,198903140011,1989,3,14,Bolivia,South America,La Paz,El Alto,-16.501004000000002,-68.213926,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37520,198903140012,1989,3,14,Bolivia,South America,La Paz,El Alto,-16.501004000000002,-68.213926,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37521,198903140013,1989,3,14,Bolivia,South America,La Paz,El Alto,-16.501004000000002,-68.213926,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37522,198903140014,1989,3,14,Bolivia,South America,La Paz,El Alto,-16.501004000000002,-68.213926,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37523,198903140015,1989,3,14,Bolivia,South America,La Paz,El Alto,-16.501004000000002,-68.213926,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37524,198903140016,1989,3,14,Bolivia,South America,La Paz,El Alto,-16.501004000000002,-68.213926,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37525,198903140017,1989,3,14,Bolivia,South America,La Paz,El Alto,-16.501004000000002,-68.213926,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37526,198903140018,1989,3,14,Bolivia,South America,La Paz,El Alto,-16.501004000000002,-68.213926,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37527,198903140019,1989,3,14,Bolivia,South America,La Paz,El Alto,-16.501004000000002,-68.213926,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
37528,198903140020,1989,3,14,Bolivia,South America,La Paz,El Alto,-16.501004000000002,-68.213926,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
