year,injuries,fatalities,region,count
1992,22,55,Eastern Europe,22
1994,5,3,Eastern Europe,9
1995,3,2,Eastern Europe,6
1996,12,2,Eastern Europe,33
1997,68,5,Eastern Europe,42
1998,3,2,Eastern Europe,9
1999,4,1,Eastern Europe,5
2000,3,1,Eastern Europe,6
2001,0,0,Eastern Europe,2
2002,0,0,Eastern Europe,3
2003,0,0,Eastern Europe,1
2005,1,0,Eastern Europe,1
2006,0,0,Eastern Europe,1
2007,2,1,Eastern Europe,2
2008,10,2,Eastern Europe,4
2009,0,0,Eastern Europe,1
2010,6,1,Eastern Europe,1
2011,1,0,Eastern Europe,1
2013,0,0,Eastern Europe,1
2014,4,0,Eastern Europe,3
2015,6,4,Eastern Europe,6
