,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
64584,199702070006,1997,2,7,Bosnia-Herzegovina,Eastern Europe,,Gajevi,44.808929,18.644956,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
64605,199702100007,1997,2,10,Bosnia-Herzegovina,Eastern Europe,,Mostar,43.3433333,17.8080556,,Religious Figures/Institutions,Croatians,Firearms,1,22
64646,199702150005,1997,2,15,Bosnia-Herzegovina,Eastern Europe,,Mostar,43.3433333,17.8080556,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
64693,199702220003,1997,2,22,Bosnia-Herzegovina,Eastern Europe,,Mostar,43.3433333,17.8080556,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
64761,199703040006,1997,3,4,Bosnia-Herzegovina,Eastern Europe,,Sarajevo,43.85,18.3833333,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
64839,199703150021,1997,3,15,Bosnia-Herzegovina,Eastern Europe,,Tomislavgrad,43.71805560000001,17.2266667,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
64891,199703200073,1997,3,20,Bosnia-Herzegovina,Eastern Europe,,Travnik,44.2266667,17.6705556,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
64892,199703200074,1997,3,20,Bosnia-Herzegovina,Eastern Europe,,Travnik,44.2266667,17.6705556,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
65027,199704050001,1997,4,5,Bosnia-Herzegovina,Eastern Europe,,Kraljevska Sutjeska,44.118888899999995,18.1988889,,Religious Figures/Institutions,Unknown,Firearms,0,0
65088,199704120005,1997,4,12,Bosnia-Herzegovina,Eastern Europe,,Sarajevo,43.85,18.3833333,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
65896,199707130003,1997,7,13,Bosnia-Herzegovina,Eastern Europe,,Zvornik,44.3869444,19.1013889,,Military,Unknown,Explosives/Bombs/Dynamite,0,0
65903,199707140006,1997,7,14,Bosnia-Herzegovina,Eastern Europe,,Zvornik,44.3869444,19.1013889,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
65914,199707150008,1997,7,15,Bosnia-Herzegovina,Eastern Europe,,Banja Luka,44.775833299999995,17.1855556,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
65915,199707150009,1997,7,15,Bosnia-Herzegovina,Eastern Europe,,Prijedor,44.978981,16.70372,,Military,Unknown,Explosives/Bombs/Dynamite,0,0
65924,199707160005,1997,7,16,Bosnia-Herzegovina,Eastern Europe,,Kladanj,44.392348999999996,18.69237,,Military,Unknown,Melee,0,1
65925,199707160006,1997,7,16,Bosnia-Herzegovina,Eastern Europe,,Prijedor,44.978981,16.70372,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
65926,199707160007,1997,7,16,Bosnia-Herzegovina,Eastern Europe,,Banja Luka,44.775833299999995,17.1855556,,Military,Unknown,Explosives/Bombs/Dynamite,0,0
65927,199707160008,1997,7,16,Bosnia-Herzegovina,Eastern Europe,,Banja Luka,44.775833299999995,17.1855556,,Military,Unknown,Explosives/Bombs/Dynamite,0,0
65948,199707180012,1997,7,18,Bosnia-Herzegovina,Eastern Europe,,Gradiska,45.1411111,17.25,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
65949,199707180013,1997,7,18,Bosnia-Herzegovina,Eastern Europe,,Doboj,44.740768,18.09296,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
66009,199707230005,1997,7,23,Bosnia-Herzegovina,Eastern Europe,,Kotor-Varos,44.616944399999994,17.3716667,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,1
66010,199707230006,1997,7,23,Bosnia-Herzegovina,Eastern Europe,,Bratunac,44.1875,19.339444399999998,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
66020,199707250006,1997,7,25,Bosnia-Herzegovina,Eastern Europe,,Vlasenica,44.1819444,18.9405556,,Government (Diplomatic),Unknown,Incendiary,0,0
66104,199708050008,1997,8,5,Bosnia-Herzegovina,Eastern Europe,,Jajce,44.3422222,17.265555600000003,,Private Citizens & Property,Croatians,Incendiary,0,0
66222,199708150012,1997,8,15,Bosnia-Herzegovina,Eastern Europe,,Laze,43.965294,19.089116,,Private Citizens & Property,Unknown,Firearms,2,1
66287,199708210009,1997,8,21,Bosnia-Herzegovina,Eastern Europe,,Celici,44.71645,18.821489,,Private Citizens & Property,Unknown,Firearms,1,1
66384,199708280013,1997,8,28,Bosnia-Herzegovina,Eastern Europe,,Brcko,44.8727778,18.8083333,,Government (Diplomatic),Serb demonstrators,Melee,0,2
66465,199709080004,1997,9,8,Bosnia-Herzegovina,Eastern Europe,,Modrica,44.95665,18.298429000000002,,Government (Diplomatic),Serbs,Melee,0,0
66466,199709080005,1997,9,8,Bosnia-Herzegovina,Eastern Europe,,Derventa,,,,Government (Diplomatic),Serbs,Incendiary,0,0
66526,199709120007,1997,9,12,Bosnia-Herzegovina,Eastern Europe,,Banja Luka,44.775833299999995,17.1855556,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,1
66535,199709130008,1997,9,13,Bosnia-Herzegovina,Eastern Europe,,Sarajevo,43.85,18.3833333,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
66573,199709180004,1997,9,18,Bosnia-Herzegovina,Eastern Europe,,Mostar,43.3433333,17.8080556,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
66574,199709180005,1997,9,18,Bosnia-Herzegovina,Eastern Europe,,Mostar,43.3433333,17.8080556,,Police,Unknown,Explosives/Bombs/Dynamite,0,36
66649,199709270007,1997,9,27,Bosnia-Herzegovina,Eastern Europe,,Doboj,44.740768,18.09296,,Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
66742,199710090003,1997,10,9,Bosnia-Herzegovina,Eastern Europe,,Banja Luka,44.775833299999995,17.1855556,,Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
66753,199710110004,1997,10,11,Bosnia-Herzegovina,Eastern Europe,,Sarajevo,43.85,18.3833333,,Educational Institution,Unknown,Explosives/Bombs/Dynamite,0,0
66848,199710200005,1997,10,20,Bosnia-Herzegovina,Eastern Europe,,Bijeljina,44.756944399999995,19.2161111,,Telecommunication,Unknown,Explosives/Bombs/Dynamite,0,0
66917,199710270010,1997,10,27,Bosnia-Herzegovina,Eastern Europe,,Brcko,44.8727778,18.8083333,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
66918,199710270011,1997,10,27,Bosnia-Herzegovina,Eastern Europe,Central Bosnia,Nula,43.900915000000005,17.652082999999998,,Private Citizens & Property,Unknown,Firearms,1,2
66923,199710280005,1997,10,28,Bosnia-Herzegovina,Eastern Europe,,Bijeljina,44.756944399999995,19.2161111,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
67034,199711130005,1997,11,13,Bosnia-Herzegovina,Eastern Europe,,Bijeljina,44.756944399999995,19.2161111,,Government (General),Unknown,Firearms,0,0
