,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
64264,199701040011,1997,1,4,Brazil,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,,Private Citizens & Property,Unknown,Firearms,2,0
64339,199701130005,1997,1,13,Brazil,South America,Para,Ourilandia do Norte,-6.753298,-51.086238,,Private Citizens & Property,Farmers,Firearms,3,0
64367,199701170003,1997,1,17,Brazil,South America,Parana,Unknown,-25.252089,-52.021542,,Private Citizens & Property,Farmers,Firearms,2,0
64407,199701210003,1997,1,21,Brazil,South America,Ceara,Fortaleza,-3.7322699999999998,-38.526529,,Government (General),Civil Servants and Unionists,Unknown,0,2
64701,199702230006,1997,2,23,Brazil,South America,Sao Paulo,Sandovalina district,-22.455612,-51.765336,,Private Citizens & Property,Gunmen,Firearms,0,8
65168,199704230004,1997,4,23,Brazil,South America,Bahia,Pau Brasil,-15.462566,-39.652954,,Business,Pataxo Indians,Melee,0,0
65701,199706270003,1997,6,27,Brazil,South America,Bahia,Salvador,-12.97199,-38.501101,,Private Citizens & Property,Unknown,Firearms,1,0
65702,199706270004,1997,6,27,Brazil,South America,Bahia,Salvador,-12.97199,-38.501101,,Private Citizens & Property,Unknown,Firearms,1,0
65703,199706270005,1997,6,27,Brazil,South America,Bahia,Salvador,-12.97199,-38.501101,,Private Citizens & Property,Unknown,Firearms,1,0
65859,199707090006,1997,7,9,Brazil,South America,Sao Paulo,Suzano,-23.545320999999998,-46.311625,,Airports & Aircraft,Unknown,Explosives/Bombs/Dynamite,1,0
66141,199708080009,1997,8,8,Brazil,South America,Goias,Lucilandia,-16.049057,-51.269296000000004,,Government (General),Unknown,Firearms,1,0
66244,199708180006,1997,8,18,Brazil,South America,Sao Paulo,Pontal de Paranapanema district,-22.851423,-48.464107,,Business,Landless Peasants' Movement (MST),Unknown,0,0
66245,199708180007,1997,8,18,Brazil,South America,Sao Paulo,Pontal de Paranapanema district,-22.851423,-48.464107,,Business,Landless Peasants' Movement (MST),Unknown,0,0
66246,199708180008,1997,8,18,Brazil,South America,Alagoas,Maceio,-9.64979,-35.708976,,Government (General),Landless Peasants' Movement (MST),Melee,0,0
66249,199708180011,1997,8,18,Brazil,South America,Sao Paulo,Pontal de Paranapanema district,-22.851423,-48.464107,,Business,Landless Peasants' Movement (MST),Unknown,0,0
66296,199708220005,1997,8,22,Brazil,South America,Amazonas,Rio Javari district,-4.160966,-70.55177900000001,,Government (General),Korubo Tribe,Unknown,1,0
66423,199709010011,1997,9,1,Brazil,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,,Business,Unknown,Firearms,0,0
66515,199709110013,1997,9,11,Brazil,South America,Federal District,Brasilia,-15.826088,-47.922321999999994,,Government (General),Unknown,Unknown,1,0
66556,199709150009,1997,9,15,Brazil,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,,Business,Unknown,Firearms,0,0
66678,199710010009,1997,10,1,Brazil,South America,Sao Paulo,Sao Paulo,-23.550711,-46.633475,,Business,Unknown,Firearms,0,0
66774,199710130006,1997,10,13,Brazil,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,,Business,Unknown,Unknown,0,0
66786,199710150005,1997,10,15,Brazil,South America,Rio de Janeiro,Rio de Janeiro,-22.908278,-43.197026,,Business,Unknown,Unknown,0,0
