year,injuries,fatalities,region,count
1982,0,2,Eastern Europe,2
1984,0,0,Eastern Europe,1
1990,0,0,Eastern Europe,5
1991,0,0,Eastern Europe,3
1992,0,0,Eastern Europe,2
1994,1,1,Eastern Europe,2
1995,0,3,Eastern Europe,2
1996,3,9,Eastern Europe,12
1997,0,0,Eastern Europe,3
1998,1,0,Eastern Europe,2
1999,0,0,Eastern Europe,1
2000,0,4,Eastern Europe,2
2001,0,0,Eastern Europe,1
2002,0,1,Eastern Europe,1
2008,0,0,Eastern Europe,2
2011,0,0,Eastern Europe,2
2012,30,8,Eastern Europe,2
2013,0,0,Eastern Europe,3
2014,0,0,Eastern Europe,1
2015,0,0,Eastern Europe,2
2016,1,0,Eastern Europe,1
