,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
61336,199601110004,1996,1,11,Bulgaria,Eastern Europe,,Sofia,42.696492,23.326010999999998,,Government (Diplomatic),Unknown,Melee,0,1
61407,199601210004,1996,1,21,Bulgaria,Eastern Europe,,Sofia,42.696492,23.326010999999998,,Business,Unknown,Explosives/Bombs/Dynamite,3,0
61451,199601270012,1996,1,27,Bulgaria,Eastern Europe,,Sofia,42.696492,23.326010999999998,,Government (Diplomatic),Unknown,Unknown,0,1
62218,199605030006,1996,5,3,Bulgaria,Eastern Europe,,Sofia,42.696492,23.326010999999998,,Police,Unknown,Firearms,3,0
62774,199607170008,1996,7,17,Bulgaria,Eastern Europe,,Sofia,42.696492,23.326010999999998,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
63324,199609180005,1996,9,18,Bulgaria,Eastern Europe,,Sofia,42.696492,23.326010999999998,,Airports & Aircraft,Unknown,Explosives/Bombs/Dynamite,0,1
63485,199610020005,1996,10,2,Bulgaria,Eastern Europe,,Sofia,42.696492,23.326010999999998,,Government (General),Unknown,Firearms,1,0
63597,199610110003,1996,10,11,Bulgaria,Eastern Europe,,Dimitrovgrad,42.05,25.6,,Business,Unknown,Firearms,1,0
63603,199610130001,1996,10,13,Bulgaria,Eastern Europe,,Sofia,42.696492,23.326010999999998,,Business,Unknown,Explosives/Bombs/Dynamite,1,0
63768,199610310008,1996,10,31,Bulgaria,Eastern Europe,,Sofia,42.696492,23.326010999999998,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
64042,199612050007,1996,12,5,Bulgaria,Eastern Europe,,Kazanluk,42.619902,25.394664000000002,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
64205,199612250011,1996,12,25,Bulgaria,Eastern Europe,,Sofia,42.696492,23.326010999999998,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
