,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
157375,201601150001,2016,1,15,Burkina Faso,Sub-Saharan Africa,Centre,Ouagadougou,12.371428,-1.51966,"01/15/2016: Assailants armed with explosive devices and firearms attacked the Splendid Hotel in Ouagadougou, Centre region, Burkina Faso. At least 126 people were held hostage inside the hotel until security forces rescued them the following day. This was one of three coordinated assaults targeting public businesses in Ouagadougou overnight. At least 34 people, including four assailants, were killed and 33 others, including soldiers, were injured across all three incidents. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility and stated that the attacks were carried out in retaliation for Western operations in Muslim countries.",Business,Al-Qaida in the Islamic Maghreb (AQIM),Explosives/Bombs/Dynamite,13,11
157376,201601150002,2016,1,15,Burkina Faso,Sub-Saharan Africa,Centre,Ouagadougou,12.371428,-1.51966,"01/15/2016: Assailants armed with explosive devices and firearms attacked the Cappuccino Cafe in Ouagadougou, Centre region, Burkina Faso. This was one of three coordinated assaults targeting public businesses in Ouagadougou overnight. At least 34 people, including four assailants, were killed and 33 others, including soldiers, were injured across all three incidents. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility and stated that the attacks were carried out in retaliation for Western operations in Muslim countries.",Business,Al-Qaida in the Islamic Maghreb (AQIM),Explosives/Bombs/Dynamite,10,11
157377,201601150003,2016,1,15,Burkina Faso,Sub-Saharan Africa,Sahel,Djibo,14.10051,-1.622654,"01/15/2016: Assailants abducted two Australian surgical clinic managers, Jocelyn Elliott and Ken Elliott, in Djibo, Sahel region, Burkina Faso. Jocelyn was released on February 6, 2016 while the whereabouts of Ken are unknown. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility for the attack.",Private Citizens & Property,Al-Qaida in the Islamic Maghreb (AQIM),Unknown,0,0
157386,201601150037,2016,1,15,Burkina Faso,Sub-Saharan Africa,Sahel,Tin Abao,15.002222,-0.34944400000000003,"01/15/2016: Assailants opened fire on a local official in Tin Abao village, Sahel region, Burkina Faso. At least two people, including one soldier, were killed and two other people were injured in the assault. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Firearms,2,2
157423,201601160001,2016,1,16,Burkina Faso,Sub-Saharan Africa,Centre,Ouagadougou,12.371428,-1.51966,"01/16/2016: Assailants armed with explosive devices and firearms attacked the Ybi Hotel in Ouagadougou, Centre region, Burkina Faso. This was one of three coordinated assaults targeting public businesses in Ouagadougou overnight. At least 34 people, including four assailants, were killed and 33 others, including soldiers, were injured across all three incidents. Al-Qaida in the Islamic Maghreb (AQIM) claimed responsibility and stated that the attacks were carried out in retaliation for Western operations in Muslim countries.",Business,Al-Qaida in the Islamic Maghreb (AQIM),Firearms,11,11
162141,201605170036,2016,5,17,Burkina Faso,Sub-Saharan Africa,Sahel,Koutougou,14.666613,-1.010994,"05/17/2016: Assailants opened fire on a police station in Koutougou, Sahel, Burkina Faso. Two police officers were wounded in the assault. No group claimed responsibility for the incident.",Police,Unknown,Firearms,0,2
162730,201605310015,2016,5,31,Burkina Faso,Sub-Saharan Africa,Sahel,Intamgom,14.100087,-0.149499,"05/31/2016: Assailants opened fire on a police station in Intamgom, Sahel, Burkina Faso. Three police officers were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Muslim extremists.",Police,Muslim extremists,Firearms,3,0
166222,201609020064,2016,9,1,Burkina Faso,Sub-Saharan Africa,Sahel,Markoye,14.640463,0.033076999999999995,"09/01/2016: Assailants attacked a border post in Markoye, Sahel, Burkina Faso. A customs officer was killed and two people were injured in the assault. The Islamic State in the Greater Sahara (ISGS) claimed responsibility for the incident.",Police,Islamic State in the Greater Sahara (ISGS),Unknown,1,2
167613,201610120017,2016,10,12,Burkina Faso,Sub-Saharan Africa,Sahel,Intangom,14.950079999999998,-0.36206,"10/12/2016: Assailants attacked an army post in Intangom, Sahel, Burkina Faso. Three soldiers and two assailants were killed and one soldier was injured in the attack. Islamic State in the Greater Sahara (ISGS) claimed responsibility for the incident.",Military,Islamic State in the Greater Sahara (ISGS),Firearms,5,1
169909,201612160005,2016,12,16,Burkina Faso,Sub-Saharan Africa,Sahel,Nassoumbou,14.409798,-1.550892,"12/16/2016: Assailants opened fire on a military base in Nassoumbou, Sahel, Burkina Faso. At least 5 assailants and 12 soldiers were killed and an unknown number of people were injured in the attack. Two soldiers were also reported missing. Ansar al-Islam (Burkina Faso) claimed responsibility for the incident.",Military,Ansar al-Islam (Burkina Faso),Explosives/Bombs/Dynamite,17,0
