year,injuries,fatalities,region,count
1991,41,117,Sub-Saharan Africa,7
1992,19,61,Sub-Saharan Africa,2
1994,158,265,Sub-Saharan Africa,16
1995,300,583,Sub-Saharan Africa,83
1996,286,1371,Sub-Saharan Africa,35
1997,507,386,Sub-Saharan Africa,79
1998,129,392,Sub-Saharan Africa,13
1999,63,108,Sub-Saharan Africa,13
2000,23,97,Sub-Saharan Africa,17
2001,49,166,Sub-Saharan Africa,37
2002,56,67,Sub-Saharan Africa,18
2003,24,116,Sub-Saharan Africa,18
2004,0,18,Sub-Saharan Africa,1
2005,17,13,Sub-Saharan Africa,5
2006,54,21,Sub-Saharan Africa,5
2007,2,3,Sub-Saharan Africa,3
2008,46,28,Sub-Saharan Africa,7
2010,55,14,Sub-Saharan Africa,29
2011,30,47,Sub-Saharan Africa,8
2012,22,6,Sub-Saharan Africa,4
2013,12,5,Sub-Saharan Africa,2
2014,1,4,Sub-Saharan Africa,5
2015,218,220,Sub-Saharan Africa,97
2016,213,74,Sub-Saharan Africa,83
