,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
142232,201501060008,2015,1,6,Burundi,Sub-Saharan Africa,Ruyigi,Kavumwe,-3.440833,30.573889,"01/06/2015: Assailants wearing military uniforms shot and killed three members of the National Council for the Defense of Democracy-Forces for the Defense of Democracy (CNDD-FDD) party in Kavumwe area, Ruyigi, Burundi. The assailants then proceeded to burn down the CNDD-FDD office. No group claimed responsibility for the incident.",Violent Political Party,Unknown,Firearms,3,0
145178,201503090065,2015,3,9,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.383626,29.366603,"03/09/2015: Assailants opened fire on a military post near Bujumbura city, Bujumbura Mairie province, Burundi. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Military,Unknown,Firearms,0,0
145409,201503150064,2015,3,15,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.383626,29.366603,"03/15/2015: Assailants opened fire on an opposition leader's wife in Bujumbura city, Bujumbura Mairie province, Burundi. The victim was wounded in the attack. No group claimed responsibility for the incident.",Violent Political Party,Unknown,Firearms,0,1
147244,201505010099,2015,5,1,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.344792,29.391810999999997,"05/01/2015: Assailants threw two grenades at a police post in Kamenge neighborhood, Bujumbura city, Bujumbura Mairie province, Burundi. Two police officers and a civilian were killed and 12 other people wounded in the attack. This was one of two related attacks in Bujumbura on the same day. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,3,12
147245,201505010100,2015,5,1,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.3833330000000004,29.366667,"05/01/2015: Assailants threw a grenade at a police post in the central market in Bujumbura city, Bujumbura Mairie province, Burundi. At least three police officers were wounded in the blast. This was one of two related attacks in Bujumbura on the same day. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,0,3
148113,201505220071,2015,5,22,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.3833330000000004,29.366667,"05/22/2015: Assailants threw grenades into a market in Bujumbura city, Bujumbura Mairie province, Burundi. Three people were killed and 21 others were injured in the blasts. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,3,9
148114,201505220072,2015,5,22,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.409668,29.377297,"05/22/2015: Assailants threw grenades at soldiers in Musaga neighborhood, Bujumbura city, Bujumbura Mairie province, Burundi. An unknown number of soldiers were injured in the blasts. No group claimed responsibility for the incident.",Military,Unknown,Explosives/Bombs/Dynamite,0,0
148147,201505230035,2015,5,23,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.3833330000000004,29.366667,"05/23/2015: Assailants opened fire on Zedi Feruzi in Bujumbura city, Bujumbura Mairie province, Burundi. Feruzi, a Union for Peace and Development-Zigamibanga party leader, and a police officer were killed and an officer was wounded in the attack. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Firearms,2,1
149133,201506160037,2015,6,16,Burundi,Sub-Saharan Africa,Bubanza,Gahongore,-3.095278,29.381666999999997,"06/16/2015: Assailants threw a grenade at political party officials in Gahongore town, Bubanza province, Burundi. One political official was killed in the attack. No group claimed responsibility.",Violent Political Party,Unknown,Explosives/Bombs/Dynamite,1,0
149183,201506170041,2015,6,17,Burundi,Sub-Saharan Africa,Bururi,Gasibe,-3.697227,29.734247999999997,"06/17/2015: Assailants opened fire on bar patrons in the Gasibe town, Matana district, Bururi province, Burundi. Leonidas Ndikumagenge, a National Council for the Defense of Democracy?Forces for the Defense of Democracy (CNDD-FDD) representative, was killed in the attack. No group claimed responsibility.",Government (General),Unknown,Firearms,1,0
149234,201506180028,2015,6,18,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.3787269999999996,29.361553999999998,"06/18/2015: Assailants threw a grenade at civilians in Bujumbura city, Bujumbura Marie province, Burundi. Three civilians were wounded in the attack. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,3
149261,201506190023,2015,6,19,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.341736,29.37175,"06/19/2015: Assailants attacked police posts and police vehicles in Citiboke neighborhood, Bujumbura city, Bujumbura Marie province, Burundi. This is one of four related attacks in Bujumbura on this date. Eleven police officers were wounded across the four incidents. No group claimed responsibility for the attacks.",Police,Unknown,Explosives/Bombs/Dynamite,0,3
149262,201506190024,2015,6,19,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.3729669999999996,29.378747999999998,"06/19/2015: Assailants attacked police posts and police vehicles in Nyakabiga neighborhood, Bujumbura city, Bujumbura Marie province, Burundi. This is one of four related attacks in Bujumbura on this date. Eleven police officers were wounded across the four incidents. No group claimed responsibility for the attacks.",Police,Unknown,Explosives/Bombs/Dynamite,0,3
149263,201506190025,2015,6,19,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.409668,29.377297,"06/19/2015: Assailants attacked police posts and police vehicles in Musaga neighborhood, Bujumbura city, Bujumbura Marie province, Burundi. This is one of four related attacks in Bujumbura on this date. Eleven police officers were wounded across the four incidents. No group claimed responsibility for the attacks.",Police,Unknown,Explosives/Bombs/Dynamite,0,3
149264,201506190026,2015,6,19,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.3702339999999995,29.372921999999996,"06/19/2015: Assailants attacked police posts and police vehicles in Jabe neighborhood, Bujumbura city, Bujumbura Marie province, Burundi. This is one of four related attacks in Bujumbura on this date. Eleven police officers were wounded across the four incidents. No group claimed responsibility for the attacks.",Police,Unknown,Explosives/Bombs/Dynamite,0,2
149299,201506200087,2015,6,20,Burundi,Sub-Saharan Africa,Bujumbura Mairie,Bujumbura,-3.3787269999999996,29.361553999999998,"06/20/2015: Assailants threw a grenade at the Day of the African Child school in Bujumbura city, Burundi. A civilian was injured in the blast. No group claimed responsibility for the incident.",Educational Institution,Unknown,Explosives/Bombs/Dynamite,0,1
149320,201506210025,2015,6,21,Burundi,Sub-Saharan Africa,Ngozi,Burengo,-2.7276380000000002,30.013268,"06/21/2015: Assailants threw grenades in Burengo town, Ngozi province, Burundi. Four civilians were killed and 27 others were injured in this attack. This is one of three related attacks in Burundi on this date. No group claimed responsibility for the attacks.",Business,Unknown,Explosives/Bombs/Dynamite,4,27
