year,injuries,fatalities,region,count
1971,10,2,Southeast Asia,2
1972,0,1,Southeast Asia,1
1978,0,1,Southeast Asia,1
1989,0,11,Southeast Asia,2
1990,0,0,Southeast Asia,2
1991,18,16,Southeast Asia,3
1992,148,64,Southeast Asia,67
1994,88,225,Southeast Asia,39
1995,98,21,Southeast Asia,56
1996,78,44,Southeast Asia,33
1997,284,100,Southeast Asia,18
1998,5,35,Southeast Asia,7
1999,18,1,Southeast Asia,8
2000,23,12,Southeast Asia,4
2001,13,4,Southeast Asia,7
2002,1,4,Southeast Asia,3
2003,0,1,Southeast Asia,1
2008,2,1,Southeast Asia,2
2013,0,0,Southeast Asia,2
