,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
49625,199201060008,1992,1,6,Cambodia,Southeast Asia,,Stoung and Kompong Svay Districts,12.901933999999999,104.525757,,Private Citizens & Property,Khmer Rouge,Explosives/Bombs/Dynamite,13,32
49836,199201230009,1992,1,23,Cambodia,Southeast Asia,,Phnom Penh,11.558831,104.917445,,Government (General),Unknown,Unknown,1,0
49885,199201280001,1992,1,28,Cambodia,Southeast Asia,,Phnom Penh,11.558831,104.917445,,Government (General),Unknown,Firearms,1,0
49935,199202000002,1992,2,0,Cambodia,Southeast Asia,,Kraya,13.116667000000001,104.766667,,Government (Diplomatic),Khmer Rouge,Firearms,0,1
50372,199203100001,1992,3,10,Cambodia,Southeast Asia,,Phnom Penh,11.558831,104.917445,,Journalists & Media,Unknown,Firearms,0,1
51650,199206030015,1992,6,3,Cambodia,Southeast Asia,,Phnom Penh,11.558831,104.917445,,Business,Unknown,Firearms,2,0
51859,199206240008,1992,6,24,Cambodia,Southeast Asia,,Phnom Pen,11.558831,104.917445,,Government (Diplomatic),Khmer Rouge,Firearms,0,0
51876,199206260005,1992,6,26,Cambodia,Southeast Asia,,Samrong,14.988938000000001,104.771835,,Government (Diplomatic),Khmer Rouge,Firearms,0,0
51931,199207020011,1992,7,2,Cambodia,Southeast Asia,,Poipet,13.65,102.56666700000001,,Government (Diplomatic),Unknown,Firearms,0,1
51959,199207040011,1992,7,4,Cambodia,Southeast Asia,,Kompong cham Province,11.99141,105.465401,,Government (Diplomatic),Khmer Rouge,Firearms,0,0
51980,199207060013,1992,7,6,Cambodia,Southeast Asia,,Stung Treng Province,13.525791,105.97415500000001,,Transportation,Unknown,Firearms,7,2
51981,199207060014,1992,7,6,Cambodia,Southeast Asia,,Kbal Damrei,12.905002,105.391433,,Transportation,Khmer Rouge,Firearms,5,5
51993,199207070005,1992,7,7,Cambodia,Southeast Asia,,Prey Rumdeng,10.658278,104.75938599999999,,Government (Diplomatic),Khmer Rouge,Firearms,0,1
52024,199207090009,1992,7,9,Cambodia,Southeast Asia,,Pailin,12.84673,102.612999,,Government (Diplomatic),Khmer Rouge,Firearms,0,0
52129,199207190011,1992,7,19,Cambodia,Southeast Asia,,Krachap Chamnoch,,,,Private Citizens & Property,Khmer Rouge,Explosives/Bombs/Dynamite,0,0
52133,199207190016,1992,7,19,Cambodia,Southeast Asia,,Kompong Thom,11.99141,105.465401,,Journalists & Media,Khmer Rouge,Unknown,0,0
52146,199207200013,1992,7,20,Cambodia,Southeast Asia,,Prasat,,,,Private Citizens & Property,Khmer Rouge,Firearms,0,0
52147,199207200014,1992,7,20,Cambodia,Southeast Asia,,Kbal Krapeu,11.984722,105.305278,,Private Citizens & Property,Khmer Rouge,Firearms,0,0
52166,199207210012,1992,7,21,Cambodia,Southeast Asia,,Piah Nil,,,,Private Citizens & Property,Khmer Rouge,Firearms,1,2
52167,199207210013,1992,7,21,Cambodia,Southeast Asia,,Phum Tuk Meas,10.6063,104.1819,,Private Citizens & Property,Unknown,Firearms,8,9
