,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
142041,201501010039,2015,1,1,Cameroon,Sub-Saharan Africa,Extreme-North,Unknown,10.631559,14.658782,"01/01/2015: Assailants attacked passengers on a minibus traveling between Waza and Mora towns, Extreme-North region, Cameroon. Eleven passengers had their throats slashed and six passengers were injured in the attack. No group claimed responsibility; however, sources attributed the incident to Boko Haram.",Transportation,Boko Haram,Melee,11,6
142535,201501120018,2015,1,12,Cameroon,Sub-Saharan Africa,Extreme-North,Kolofata,11.162222,14.012777999999999,"01/12/2015: Assailants opened fire on a military base in Kolofata town, Extreme-North region, Cameroon. One soldier and 143 assailants were killed and four soldiers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Military,Boko Haram,Explosives/Bombs/Dynamite,144,4
142854,201501180043,2015,1,18,Cameroon,Sub-Saharan Africa,Extreme-North,Maksi,10.794167,13.653610999999998,"01/18/2015: Assailants attacked residents and buildings in Maksi village, Extreme-North region, Cameroon. This was one of two coordinated attacks carried out on villages in the district on the same day. At least 60 people were kidnapped and 80 houses were set on fire across both attacks. Approximately 20 hostages were rescued the following day, three hostages were killed, and the whereabouts of for the remaining hostages is unknown. No group claimed responsibility for the incidents; however, sources attributed the attacks to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,2,0
142855,201501180044,2015,1,18,Cameroon,Sub-Saharan Africa,Extreme-North,Mada,12.634725999999999,14.470973,"01/18/2015: Assailants attacked residents and buildings in Mada village, Extreme-North region, Cameroon. This was one of two coordinated attacks carried out on villages in the district on the same day. At least 60 people were kidnapped and 80 houses were set on fire across both attacks. Approximately 20 hostages were rescued the following day, three hostages were killed, and the whereabouts of for the remaining hostages is unknown. No group claimed responsibility for the incidents; however, sources attributed the attacks to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,1,0
143367,201501280057,2015,1,28,Cameroon,Sub-Saharan Africa,Extreme-North,Achigachia,11.115797,13.900695,"01/28/2015: Assailants attacked Achigachia area, Extreme-North region, Cameroon. This was one of four areas attacked by Boko Haram on January 28, 2015. Ten people were killed across attacks. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Unknown,3,0
143368,201501280058,2015,1,28,Cameroon,Sub-Saharan Africa,Extreme-North,Gougouro,11.259754,14.243769,"01/28/2015: Assailants attacked Gougouro area, Extreme-North region, Cameroon. This was one of four areas attacked by Boko Haram on January 28, 2015. Ten people were killed across attacks. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Unknown,3,0
143369,201501280059,2015,1,28,Cameroon,Sub-Saharan Africa,Extreme-North,Gnam-Gnam,11.714777999999999,14.711164000000002,"01/28/2015: Assailants attacked Gnam-Gnam area, Extreme-North region, Cameroon. This was one of four areas attacked by Boko Haram on January 28, 2015. Ten people were killed across attacks. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Unknown,2,0
143370,201501280060,2015,1,28,Cameroon,Sub-Saharan Africa,Extreme-North,Blangou,12.768122,14.556761999999999,"01/28/2015: Assailants attacked Blangou area, Extreme-North region, Cameroon. This was one of four areas attacked by Boko Haram on January 28, 2015. Ten people were killed across attacks. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Unknown,2,0
143371,201501280061,2015,1,28,Cameroon,Sub-Saharan Africa,Extreme-North,Fotokol,12.377735000000001,14.225045000000001,"01/28/2015: Assailants launched seven rockets at Fotokol area, Extreme-North region, Cameroon. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,0,0
143439,201501300038,2015,1,29,Cameroon,Sub-Saharan Africa,Extreme-North,Fotokol,12.377705,14.225060000000001,"01/29/2015: Assailants attacked a Chadian military contingent near Fotokol town, Extreme-North region, Cameroon. At least three soldiers and 123 assailants were killed and 12 soldiers were injured in the ensuing clash. No group claimed responsibility; however, sources attributed the incident to Boko Haram.",Military,Boko Haram,Explosives/Bombs/Dynamite,126,12
143719,201502040056,2015,2,4,Cameroon,Sub-Saharan Africa,Extreme-North,Fotokol,12.377705,14.225060000000001,"02/04/2015: Assailants attacked residents, soldiers, and buildings in Fotokol town, Cameroon. At least 94 people, including soldiers and civilians, and 50 assailants were killed in the ensuing clash. In addition, mosques, houses, and vehicles were set on fire. No group claimed responsibility; however, sources attributed the incident to Boko Haram.",Religious Figures/Institutions,Boko Haram,Firearms,144,0
143874,201502080021,2015,2,8,Cameroon,Sub-Saharan Africa,Extreme-North,Koza,10.868335,13.882501000000001,"02/08/2015: Assailants hijacked a bus and kidnapped 20 people near Koza area, Extreme-North region, Cameroon. Twelve of the hostages were killed and the remaining eight were released the same day. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Transportation,Boko Haram,Unknown,12,0
