year,injuries,fatalities,region,count
1970,0,1,North America,2
1972,7,1,North America,4
1974,0,0,North America,1
1980,0,0,North America,3
1982,8,1,North America,5
1983,0,0,North America,1
1985,2,331,North America,3
1986,1,0,North America,2
1989,14,15,North America,1
1992,2,0,North America,3
1994,1,0,North America,4
1995,1,1,North America,5
1996,1,0,North America,1
1997,1,0,North America,2
1998,0,1,North America,4
1999,2,0,North America,2
2000,30,0,North America,5
2004,0,0,North America,2
2006,0,0,North America,2
2008,9,0,North America,5
2009,0,0,North America,4
2010,0,0,North America,2
2012,0,0,North America,3
2013,0,0,North America,4
2014,6,7,North America,3
2015,2,0,North America,5
2016,34,1,North America,6
