year,injuries,fatalities,region,count
1981,0,3,Sub-Saharan Africa,1
1986,0,0,Sub-Saharan Africa,1
1991,7,3,Sub-Saharan Africa,4
1992,0,1,Sub-Saharan Africa,1
1994,5,2,Sub-Saharan Africa,1
1996,0,2,Sub-Saharan Africa,1
2000,0,1,Sub-Saharan Africa,1
2001,0,7,Sub-Saharan Africa,1
2006,1,4,Sub-Saharan Africa,1
2007,0,1,Sub-Saharan Africa,1
2008,0,1,Sub-Saharan Africa,2
2009,14,38,Sub-Saharan Africa,5
2010,23,46,Sub-Saharan Africa,13
2011,3,35,Sub-Saharan Africa,3
2012,16,14,Sub-Saharan Africa,4
2013,71,120,Sub-Saharan Africa,20
2014,298,751,Sub-Saharan Africa,94
2015,91,171,Sub-Saharan Africa,47
2016,173,189,Sub-Saharan Africa,34
