,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
125371,201401050056,2014,1,5,Central African Republic,Sub-Saharan Africa,Bangui,Bangui,4.36667,18.53333,"01/05/2014: An unidentified assailant threw a grenade into a market in Kokoro neighborhood, Bangui autonomous commune, Central African Republic. Four people were injured in the attack, including two civilians and a Burundian soldier. No group claimed responsibility for the incident.",Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,4
125717,201401140059,2014,1,14,Central African Republic,Sub-Saharan Africa,Nana-Mambere,Boyali,5.693214,15.219481,"01/14/2014: Assailants with machetes and knives attacked a bus of Muslim passengers in Boyali town, Nana-Mambere prefecture, Central African Republic. At least six people were killed in the attack. No group claimed responsibility for the incident; however, authorities attributed the attack to anti-Balaka militias.",Private Citizens & Property,Anti-Balaka Militia,Melee,6,0
125821,201401160045,2014,1,16,Central African Republic,Sub-Saharan Africa,Ombella-M'Poko,Bossembele,5.266667,17.65,"01/16/2014: Assailants attacked a mosque in Bossembele town, Ombella-M'Poko prefecture, Central African Republic. At least 43 people were killed and at least 12 others were injured in the attack. No group claimed responsibility for the incident; however, authorities attributed it to an anti-Balaka militia.",Religious Figures/Institutions,Anti-Balaka Militia,Firearms,43,12
125866,201401170040,2014,1,17,Central African Republic,Sub-Saharan Africa,Nana-Mambere,Bouar,5.95,15.6,"01/17/2014: Gunmen attacked a Muslim refugee convoy near Bouar town, Nana-Mambere prefecture, Central African Republic. At least 22 people were killed and at least 23 others were wounded as a result. No group claimed responsibility for the attack; however, sources attributed it to an anti-Balaka militia.",Private Citizens & Property,Anti-Balaka Militia,Explosives/Bombs/Dynamite,22,23
126086,201401220026,2014,1,22,Central African Republic,Sub-Saharan Africa,Bangui,Bangui,4.366667,18.583333,"01/22/2014: Gunmen attacked French troops in Bangui city, Bangui prefecture, Central African Republic. No casualties or damages were reported. No group claimed responsibility for the attack.",Military,Unknown,Firearms,0,0
126087,201401220027,2014,1,21,Central African Republic,Sub-Saharan Africa,Bangui,Bangui,4.366667,18.583333,"01/21/2014: An assailant threw a grenade at Mission to the Central African Republic (MISCA) peacekeepers guarding a refugee camp in Bangui city, Bangui prefecture, Central African Republic. At least one peacekeeper was killed and four others were injured as a result of the blast. No group claimed responsibility for the attack.",Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,1,4
126161,201401240029,2014,1,24,Central African Republic,Sub-Saharan Africa,Bangui,Bangui,4.366667,18.583333,"01/24/2014: Assailants armed with machetes attacked Dr. Joseph Kalite in Bangui city, Bangui prefecture, Central African Republic. Kalite, the former Minister of Health and a prominent member of the Muslim community, was killed. This was one of two attacks on Muslim targets in Bangui on this day. No group claimed responsibility for the incidents; however, sources attributed them to an anti-Balaka militia.",Government (General),Anti-Balaka Militia,Melee,1,0
126162,201401240030,2014,1,24,Central African Republic,Sub-Saharan Africa,Bangui,Bangui,4.366667,18.583333,"01/24/2014: Assailants attacked the predominantly Muslim neighborhood of Miskine in Bangui city, Bangui prefecture, Central African Republic. At least nine people were killed and at least 11 others were injured in the ensuing clash between the assailants and Mission to the Central African Republic (MISCA) forces. This was one of two attacks on Muslim targets in Bangui on this day. No group claimed responsibility for the incidents; however, sources attributed them to an anti-Balaka militia.",Government (Diplomatic),Anti-Balaka Militia,Firearms,9,11
126342,201401280023,2014,1,28,Central African Republic,Sub-Saharan Africa,Bangui,Bangui,4.366667,18.583333,"01/28/2014: Assailants opened fire on French soldiers outside military barracks in Bangui city, Bangui prefecture, Central African Republic. The soldiers returned fire, killing 10 assailants. No group claimed responsibility for the attack.",Military,Unknown,Firearms,10,0
126397,201401290044,2014,1,29,Central African Republic,Sub-Saharan Africa,Haut-Mbomou,Obo,5.39565,26.491673,"01/29/2014: Assailants abducted an unknown number of civilians from Obo city, Haut-Mbomou prefecture, Central African Republic. Five of the individuals were released on January 30, 2014. The whereabouts of the remaining victims are unknown. No group claimed responsibility for the incident; however, sources suspected the involvement of the Lord's Resistance Army (LRA).",Private Citizens & Property,Lord's Resistance Army (LRA),Unknown,0,0
126563,201402020002,2014,2,2,Central African Republic,Sub-Saharan Africa,Haut-Mbomou,Maboussou,5.699904,25.583332000000002,"02/02/2014: Assailants abducted four civilians from Maboussou city, Haut-Mbomou prefecture, Central African Republic. No group claimed responsibility for the incident; however, sources attributed the attack to the Lord's Resistance Army (LRA).",Private Citizens & Property,Lord's Resistance Army (LRA),Unknown,0,0
126995,201402110033,2014,2,9,Central African Republic,Sub-Saharan Africa,Bangui,Bangui,4.378133,18.552011,"02/09/2014: Gunmen opened fire on a Christian politician in Bangui city, Bangui prefecture, Central African Republic. The politician, Jean-Emmanuel Djarawa, was killed in the attack. Djarawa had recently given a speech condemning Christian militias. No group claimed responsibility for the attack.",Government (General),Unknown,Firearms,1,0
127124,201402140052,2014,2,14,Central African Republic,Sub-Saharan Africa,Bangui,Bangui,4.378133,18.552011,"02/14/2014: Assailants threw a grenade near a mosque in Bangui city, Bangui prefecture, Central African Republic. At least one person was killed as a result of the blast. No group claimed responsibility for the incident; however, sources attributed the attack to members of an anti-Balaka militia.",Religious Figures/Institutions,Anti-Balaka Militia,Explosives/Bombs/Dynamite,1,0
127207,201402160045,2014,2,16,Central African Republic,Sub-Saharan Africa,Nana-Mambere,Beloko,5.93266,14.604392,"02/16/2014: Assailants attacked a convoy of Central African refugees at roadblocks in Beloko area, Nana-Mambere prefecture, Central African Republic. At least five people, including two assailants, were killed and an unknown number of people were wounded in the attack. No group claimed responsibility for the incident; however, sources attribute the attack to members of an anti-Balaka militia.",Private Citizens & Property,Anti-Balaka Militia,Firearms,5,0
127260,201402170034,2014,2,17,Central African Republic,Sub-Saharan Africa,Ouham-Pende,Bang,7.476978,15.539914000000001,"02/17/2014: Assailants attacked the village of Bang in Ouham-Pende prefecture, Central African Republic. At least four people were killed and seven other people were reported as missing during the course of the attack. No group claimed responsibility for the incident; however, sources attributed it to the Popular Front for Recovery (FPR). The outcome of the kidnapping is unknown.",Private Citizens & Property,Popular Front for Recovery (FPR),Unknown,4,0
127315,201402180060,2014,2,18,Central African Republic,Sub-Saharan Africa,Bangui,Bangui,4.397876,18.524948000000002,"02/18/2014: Assailants attacked a civilian convoy in Bangui city, Bangui prefecture, Central African Republic. The civilians were being escorted by African-led International Support Mission to the Central African Republic (MISCA) peacekeepers. A clash ensued, during which at least 11 assailants were killed and at least 12 civilians were wounded. No group claimed responsibility for the incident; however, sources attributed it to members of an anti-Balaka militia.",Government (Diplomatic),Anti-Balaka Militia,Firearms,11,12
127338,201402190007,2014,2,19,Central African Republic,Sub-Saharan Africa,Haut-Mbomou,Unknown,5.699904,25.583332000000002,"02/19/2014: Assailants set fire to an ambulance west of Obo area, Haut-Mbomou prefecture, Central African Republic. No casualties were reported. No group claimed responsibility for the incident; however, sources suspected the involvement of the Lord's Resistance Army (LRA).",Other,Lord's Resistance Army (LRA),Firearms,0,0
127527,201402220046,2014,2,22,Central African Republic,Sub-Saharan Africa,Mambere Kadei,Guen,4.799347,16.58843,"02/22/2014: Assailants abducted and then executed groups of Muslims in Guen town, Mambere-Kade? prefecture, Central African Republic. Twenty-seven people were killed in the attack. No group claimed responsibility for the incident; however, witnesses attributed the attack to Anti-Balaka Militia.",Private Citizens & Property,Anti-Balaka Militia,Firearms,27,0
127558,201402220091,2014,2,22,Central African Republic,Sub-Saharan Africa,Bangui,Bangui,4.363242,18.580245,"02/22/2014: Assailants waylaid a taxi and killed three Muslim civilian passengers in Bangui city, Bangui prefecture, Central African Republic. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Unknown,3,0
127596,201402230048,2014,2,23,Central African Republic,Sub-Saharan Africa,Mambere Kadei,Guen,4.799347,16.58843,"02/23/2014: Assailants attacked groups of Muslims in Guen, Mambere-Kade? prefecture, Central African Republic. At least forty-three people were killed in the assualt. No group claimed responsibility for the incident; however, witnesses attributed the attack to Anti-Balaka Militia.",Private Citizens & Property,Anti-Balaka Militia,Firearms,43,0
