year,injuries,fatalities,region,count
1974,0,0,Sub-Saharan Africa,1
1984,25,0,Sub-Saharan Africa,1
1985,0,0,Sub-Saharan Africa,1
1986,1,0,Sub-Saharan Africa,1
1991,0,40,Sub-Saharan Africa,2
1992,0,170,Sub-Saharan Africa,4
1994,3,1,Sub-Saharan Africa,1
1995,0,0,Sub-Saharan Africa,3
1996,0,1,Sub-Saharan Africa,1
1997,2,2,Sub-Saharan Africa,1
1998,0,0,Sub-Saharan Africa,1
1999,0,77,Sub-Saharan Africa,1
2002,1,21,Sub-Saharan Africa,4
2006,3,103,Sub-Saharan Africa,11
2007,138,136,Sub-Saharan Africa,7
2008,1011,172,Sub-Saharan Africa,8
2009,1,0,Sub-Saharan Africa,3
2010,0,0,Sub-Saharan Africa,1
2014,0,6,Sub-Saharan Africa,1
2015,427,306,Sub-Saharan Africa,27
2016,68,22,Sub-Saharan Africa,5
