,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
144180,201502130040,2015,2,13,Chad,Sub-Saharan Africa,Lac,Ngouboua,13.549230999999999,14.052937,"02/13/2015: Assailants attacked Ngouboua village, Lac region, Chad. Up to 12 people were killed and nine others were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Police,Boko Haram,Firearms,12,9
145393,201503150031,2015,3,15,Chad,Sub-Saharan Africa,Lac,Djargagoroum,13.330266,14.100133,"03/15/2015: Assailants attacked residents and buildings in Djargagoroum village, Lac region, Chad. At least one person was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Incendiary,1,0
146116,201504030069,2015,4,3,Chad,Sub-Saharan Africa,Lac,Maidogo,13.256067999999999,14.485294,"04/03/2015: Assailants attacked civilians in Maidogo, Lac region, Chad. At least seven people were killed in the incident. No group claimed responsibility; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,7,0
148352,201505280031,2015,5,27,Chad,Sub-Saharan Africa,Lac,Choua,13.538057,14.636973000000001,"05/27/2015: Assailants attacked soldiers in Choua area, Chad. Four soldiers and 33 assailants were killed and four soldiers were wounded in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Military,Boko Haram,Explosives/Bombs/Dynamite,37,4
149058,201506150029,2015,6,15,Chad,Sub-Saharan Africa,N'Djamena,N'Djamena,12.089724,15.06776,"06/15/2015: Two suicide bombers detonated outside of the National Gendarmerie academy in N'Djamena city, N'Djamena region, Chad. This was one of two related bombings targeting police facilities in the city on the same day. Thirty-seven people were killed and 101 people were injured across both attacks. Boko Haram claimed responsibility for the incidents.",Police,Boko Haram,Explosives/Bombs/Dynamite,19,51
149059,201506150030,2015,6,15,Chad,Sub-Saharan Africa,N'Djamena,N'Djamena,12.112509,15.033817,"06/15/2015: Two suicide bombers detonated outside of the central police station in N'Djamena city, N'Djamena region, Chad. This was one of two related bombings targeting police facilities in the city on the same day. Thirty-seven people were killed and 101 people were injured across both attacks. Boko Haram claimed responsibility for the incidents.",Police,Boko Haram,Explosives/Bombs/Dynamite,18,50
149874,201507040077,2015,7,4,Chad,Sub-Saharan Africa,Lac,Merom,13.65,14.05,"07/04/2015: Assailants attacked residences in Melom village, Lac region, Chad. The assailants slit 13 victims' throats during the raid. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,13,0
149923,201507050067,2015,7,5,Chad,Sub-Saharan Africa,Lac,Tiskra,13.330266,14.100133,"07/05/2015: Assailants attacked residences in Tiskra village, Lac region, Chad. The assailants slit 13 victims' throats during the raid. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,13,0
149963,201507060065,2015,7,6,Chad,Sub-Saharan Africa,Lac,Memorom,13.665,13.880556,"07/06/2015: Assailants attacked residents in Memorom village, Lac region, Chad. At least 18 people were killed and 12 people were injured in the raid. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram, noting that the victims refused to join the group.",Private Citizens & Property,Boko Haram,Unknown,18,12
150145,201507110021,2015,7,11,Chad,Sub-Saharan Africa,N'Djamena,N'Djamena,12.113056,15.049167,"07/11/2015: A suicide bomber disguised as a woman detonated an explosives-laden belt at a market in N'Djamena city, N'Djamena region, Chad. In addition to the bomber, 15 people were killed and 80 others were wounded in the blast. Boko Haram claimed responsibility for the incident.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,16,80
150281,201507140017,2015,7,14,Chad,Sub-Saharan Africa,Lac,Tetewa,13.330266,14.100133,"07/14/2015: Assailants attacked Koranic students in Tetewa Island, Lac region, Chad. Six students were killed in the attack. No group claimed responsibility for the incident; however, sources suspected that Boko Haram was involved in the attack.",Private Citizens & Property,Boko Haram,Unknown,6,0
150396,201507170018,2015,7,17,Chad,Sub-Saharan Africa,Lac,Konkia,13.575556,15.426944,"07/17/2015: Assailants attacked the Konkia military post in Konkia area, Lac region, Chad. At least one soldier and 19 assailants were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Military,Boko Haram,Firearms,20,0
150696,201507250026,2015,7,25,Chad,Sub-Saharan Africa,Lac,Katikine,13.488056,13.856667000000002,"07/25/2015: Assailants attacked Katikine village, Lac region, Chad. Thirty civilians were kidnapped during the assault. The outcome of the abduction is unknown. This was one of three related incidents in the area on this date. No group claimed responsibility for the incidents; however, sources attributed the attacks to Boko Haram.",Private Citizens & Property,Boko Haram,Unknown,0,0
150697,201507250027,2015,7,25,Chad,Sub-Saharan Africa,Lac,Blarigi,13.433333,14.383332999999999,"07/25/2015: Assailants attacked Blarigi village, Lac region, Chad. Three civilians were killed in the attack. This was one of three related incidents in the area on this date. No group claimed responsibility for the incidents; however, sources attributed the attacks to Boko Haram.",Private Citizens & Property,Boko Haram,Melee,3,0
150698,201507250028,2015,7,25,Chad,Sub-Saharan Africa,Lac,Medi Kouta,13.443889000000002,14.594722,"07/25/2015: Assailants attacked Medi Kouta village, Lac region, Chad. Thirteen assailants were killed and an unknown number of Chadian soldiers were wounded in the ensuing clash. This was one of three related incidents in the area on this date. No group claimed responsibility for the incidents; however, sources attributed the attacks to Boko Haram.",Private Citizens & Property,Boko Haram,Firearms,13,0
152009,201508260042,2015,8,26,Chad,Sub-Saharan Africa,Lac,Kaiga Ngouboua,13.453287,14.726972,"08/26/2015: Two suicide bombers detonated at the Kaiga Ngouboua military camp in the Lake Chad region, Chad. The two assailants were the only reported casualties. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Military,Boko Haram,Explosives/Bombs/Dynamite,2,0
153534,201510060022,2015,10,6,Chad,Sub-Saharan Africa,Lac,Kaiga Ngouboua,13.885779999999999,13.954070999999999,"10/06/2015: Assailants attacked military forces in Kaiga Ngouboua area, Lac region, Chad. At least 11 soldiers and 17 assailants were killed and 13 soldiers were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",Military,Boko Haram,Unknown,28,13
153703,201510100016,2015,10,10,Chad,Sub-Saharan Africa,Lac,Baga Sola,13.533582999999998,14.317182999999998,"10/10/2015: Three suicide bombers detonated at a fish market in Baga Sola area, Lac region, Chad. In addition to the bombers, at least 14 people were killed and 42 people were injured in the blast. This was one of two related attacks in Baga Sola on the same day. No group claimed responsibility for the incident; however, sources attributed the attacks to Boko Haram.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,17,42
153704,201510100017,2015,10,10,Chad,Sub-Saharan Africa,Lac,Baga Sola,13.533676999999999,14.317092,"10/10/2015: Two suicide bombers detonated at a refugee camp in Baga Sola area, Lac region, Chad. In addition to the bombers, at least 19 people were killed and 10 people were injured in the blast. This was one of two related attacks in Baga Sola on the same day. No group claimed responsibility for the incident; however, sources attributed the attacks to Boko Haram.",Other,Boko Haram,Explosives/Bombs/Dynamite,21,10
154622,201511010020,2015,11,1,Chad,Sub-Saharan Africa,Unknown,Bamou,,,"11/01/2015: Three suicide bombers attempted to attack a military base in Bamou village, Chad. Security forces killed two assailants while the third assailant detonated an explosive device, injuring 11 civilians. This was one of two coordinated attacks in the area on the same day. No group claimed responsibility for the incidents; however, sources attributed the attacks to Boko Haram.",Military,Boko Haram,Explosives/Bombs/Dynamite,3,11
154623,201511010021,2015,11,1,Chad,Sub-Saharan Africa,Unknown,Kaiga Kinguirya,,,"11/01/2015: Assailants attacked a military post in Kaiga Kinguirya village, Chad. At least two soldiers and 11 assailants were killed in the ensuing clash. This was one of two coordinated attacks in the area on the same day. No group claimed responsibility for the incidents; however, sources attributed the attacks to Boko Haram.",Military,Boko Haram,Unknown,13,0
154865,201511080026,2015,11,8,Chad,Sub-Saharan Africa,Lac,Ngouboua,13.528048000000002,14.017999,"11/08/2015: A female suicide bomber detonated near a public water tap in Ngouboua town, Lac region, Chad. This was one of two suicide bombings in this town on the same day. In addition to the two bombers, two civilians were killed and 14 others were injured in the blasts. No group claimed responsibility; however, sources attributed the attacks to Boko Haram.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,2,7
154881,201511080065,2015,11,8,Chad,Sub-Saharan Africa,Lac,Ngouboua,13.528258,14.015088,"11/08/2015: A female suicide bomber detonated near a mill in Ngouboua town, Lac region, Chad. This was one of two suicide bombings in this town on the same day. In addition to the two bombers, two civilians were killed and 14 others were injured in the blasts. No group claimed responsibility; however, sources attributed the attacks to Boko Haram.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,2,7
155918,201512050008,2015,12,5,Chad,Sub-Saharan Africa,Lac,Koulfoua,13.003044000000001,14.738038000000001,"12/05/2015: Two suicide bombers detonated at a market in Koulfoua island, Mamdi district, Lac prefecture, Chad. This was one of three coordinated suicide attacks on the market in a short period of time. In addition to four assailants, at least 15 people were killed and 130 people were injured in the three blasts. No group claimed responsibility for the incidents; however, sources attributed the attacks to Boko Haram.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,7,44
155919,201512050009,2015,12,5,Chad,Sub-Saharan Africa,Lac,Koulfoua,13.003044000000001,14.738038000000001,"12/05/2015: A suicide bomber detonated at a market in Koulfoua island, Mamdi district, Lac prefecture, Chad. This was one of three coordinated suicide attacks on the market in a short period of time. In addition to four assailants, at least 15 people were killed and 130 people were injured in the three blasts. No group claimed responsibility for the incidents; however, sources attributed the attacks to Boko Haram.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,6,43
155920,201512050010,2015,12,5,Chad,Sub-Saharan Africa,Lac,Koulfoua,13.003044000000001,14.738038000000001,"12/05/2015: A suicide bomber detonated at a market in Koulfoua island, Mamdi district, Lac prefecture, Chad. This was one of three coordinated suicide attacks on the market in a short period of time. In addition to four assailants, at least 15 people were killed and 130 people were injured in the three blasts. No group claimed responsibility for the incidents; however, sources attributed the attacks to Boko Haram.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,6,43
156492,201512220015,2015,12,22,Chad,Sub-Saharan Africa,Lac,Mamdi district,13.003044000000001,14.738038000000001,"12/22/2015: Residents identified and attempted to stop seven suicide bombers in Mamdi district, Lac region, Chad. Four of the assailants detonated, resulting in three assailant deaths, and three assailants fled. No group claimed responsibility for the incident; however, sources suspected that Boko Haram was involved.",Private Citizens & Property,Boko Haram,Explosives/Bombs/Dynamite,3,1
