year,injuries,fatalities,region,count
1973,0,0,South America,7
1976,1,0,South America,2
1977,0,0,South America,6
1978,2,0,South America,8
1979,3,6,South America,49
1980,11,6,South America,41
1981,2,19,South America,34
1982,2,2,South America,21
1983,25,15,South America,106
1984,158,37,South America,563
1985,148,30,South America,232
1986,128,22,South America,243
1987,29,9,South America,173
1988,81,19,South America,185
1989,20,19,South America,146
1990,38,8,South America,161
1991,30,16,South America,127
1992,13,12,South America,116
1994,7,0,South America,15
1995,5,1,South America,17
1996,4,2,South America,8
1997,10,0,South America,6
1998,0,0,South America,1
1999,0,0,South America,3
2000,0,0,South America,2
2001,0,0,South America,3
2002,1,0,South America,1
2003,0,0,South America,2
2006,1,0,South America,1
2007,0,0,South America,8
2008,0,0,South America,4
2009,1,0,South America,8
2010,1,0,South America,5
2011,1,0,South America,6
2012,0,0,South America,2
2013,1,2,South America,4
2014,26,1,South America,17
2015,0,0,South America,1
2016,4,0,South America,17
