,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
20540,198401020001,1984,1,2,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
20555,198401020016,1984,1,2,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Business,Movement of the Revolutionary Left (MIR) (Chile),Explosives/Bombs/Dynamite,0,0
20556,198401020017,1984,1,2,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Business,Movement of the Revolutionary Left (MIR) (Chile),Explosives/Bombs/Dynamite,0,0
20558,198401030002,1984,1,3,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
20583,198401080001,1984,1,8,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Transportation,Movement of the Revolutionary Left (MIR) (Chile),Explosives/Bombs/Dynamite,0,0
20608,198401100009,1984,1,10,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Journalists & Media,Marxists,Unknown,0,0
20630,198401130001,1984,1,13,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Utilities,Unknown,Unknown,0,0
20631,198401130002,1984,1,13,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Utilities,Unknown,Unknown,0,0
20708,198401230002,1984,1,23,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
20735,198401260009,1984,1,26,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Business,Movement of the Revolutionary Left (MIR) (Chile),Firearms,0,0
20741,198401270001,1984,1,27,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
20742,198401270002,1984,1,27,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
20743,198401270003,1984,1,27,Chile,South America,Santiago Metropolitan,Santiago,-33.469115,-70.641997,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
