year,injuries,fatalities,region,count
1989,12,20,East Asia,3
1990,10,2,East Asia,1
1991,0,0,East Asia,1
1992,20,9,East Asia,5
1994,96,18,East Asia,13
1995,198,6,East Asia,8
1996,106,23,East Asia,62
1997,104,37,East Asia,18
1998,150,50,East Asia,2
1999,50,5,East Asia,2
2000,2,1,East Asia,4
2001,65,25,East Asia,13
2002,18,1,East Asia,2
2003,16,1,East Asia,3
2004,5,4,East Asia,2
2005,2,12,East Asia,1
2008,133,23,East Asia,20
2009,56,186,East Asia,7
2010,14,7,East Asia,1
2011,32,19,East Asia,4
2012,38,27,East Asia,4
2013,71,60,East Asia,12
2014,478,322,East Asia,37
2015,83,123,East Asia,17
2016,18,13,East Asia,5
