year,injuries,fatalities,region,count
1970,0,0,South America,1
1972,0,1,South America,2
1973,0,0,South America,6
1975,0,7,South America,10
1976,13,10,South America,22
1977,29,38,South America,80
1978,23,71,South America,158
1979,54,156,South America,140
1980,32,159,South America,141
1981,49,365,South America,172
1982,111,368,South America,222
1983,75,437,South America,234
1984,296,485,South America,237
1985,365,935,South America,382
1986,96,771,South America,307
1987,277,655,South America,337
1988,419,1096,South America,427
1989,510,751,South America,492
1990,747,694,South America,349
1991,420,742,South America,420
1992,449,631,South America,523
1994,115,218,South America,201
1995,326,521,South America,123
1996,476,611,South America,409
1997,637,1230,South America,598
1998,176,592,South America,94
1999,246,262,South America,116
2000,181,426,South America,137
2001,435,576,South America,207
2002,648,356,South America,150
2003,557,184,South America,98
2004,213,83,South America,37
2005,106,145,South America,42
2006,94,79,South America,43
2007,103,64,South America,30
2008,238,85,South America,133
2009,226,107,South America,139
2010,141,56,South America,136
2011,85,43,South America,94
2012,456,168,South America,115
2013,263,137,South America,148
2014,314,143,South America,231
2015,138,104,South America,135
2016,60,38,South America,85
