,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
64253,199701030006,1997,1,3,Colombia,South America,Unknown,Tascon,,,,Private Citizens & Property,Paramilitaries,Melee,8,0
64265,199701040012,1997,1,4,Colombia,South America,Antioquia,Medellin,6.270526,-75.57217299999999,,Transportation,Unknown,Firearms,4,0
64283,199701060009,1997,1,6,Colombia,South America,Casanare,Pore,5.72939,-71.99528000000001,,Private Citizens & Property,Unknown,Firearms,8,0
64284,199701060010,1997,1,6,Colombia,South America,Antioquia,Medellin,6.270526,-75.57217299999999,,Transportation,Unknown,Firearms,2,0
64285,199701060011,1997,1,6,Colombia,South America,Casanare,Pore,5.72939,-71.99528000000001,,Private Citizens & Property,Unknown,Unknown,2,0
64316,199701100005,1997,1,10,Colombia,South America,Caldas,Rio Sucio,5.420595,-75.702686,,Private Citizens & Property,Unknown,Unknown,1,3
64322,199701110005,1997,1,11,Colombia,South America,Antioquia,Yondo,7.007022,-73.909401,,Unknown,Paramilitaries,Unknown,7,0
64323,199701110006,1997,1,11,Colombia,South America,Antioquia,La Margarita,5.9583330000000005,-76.0075,,Private Citizens & Property,Paramilitaries,Firearms,18,0
64330,199701120005,1997,1,12,Colombia,South America,Huila,Gaitania district,3.09048,-75.67288,,Military,Revolutionary Armed Forces of Colombia (FARC),Unknown,5,7
64340,199701130006,1997,1,13,Colombia,South America,Cauca,Caloto,3.0357950000000002,-76.408327,,Government (General),Revolutionary Armed Forces of Colombia (FARC),Unknown,1,0
64341,199701130007,1997,1,13,Colombia,South America,Cundinamarca,Soacha,4.582298000000001,-74.219465,,Police,Revolutionary Armed Forces of Colombia (FARC),Unknown,0,0
64355,199701150002,1997,1,15,Colombia,South America,Antioquia,Medellin,6.270526,-75.57217299999999,,Private Citizens & Property,Unknown,Unknown,0,0
64364,199701160010,1997,1,16,Colombia,South America,Choco,Jurado,7.10577,-77.76488,,Government (General),Revolutionary Armed Forces of Colombia (FARC),Unknown,4,8
64415,199701220006,1997,1,22,Colombia,South America,Antioquia,Medellin,6.270526,-75.57217299999999,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
64416,199701220007,1997,1,22,Colombia,South America,Antioquia,Medellin,6.270526,-75.57217299999999,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
64417,199701220008,1997,1,22,Colombia,South America,Valle del Cauca,Argelia,4.72288,-76.11931,,Private Citizens & Property,Revolutionary Armed Forces of Colombia (FARC),Unknown,2,0
64429,199701250005,1997,1,25,Colombia,South America,Meta,Granada,3.54434,-73.70781,,Business,Unknown,Firearms,0,0
64432,199701260003,1997,1,26,Colombia,South America,Antioquia,Vegachi,6.7746699999999995,-74.799707,,Private Citizens & Property,National Liberation Army of Colombia (ELN),Unknown,2,0
64437,199701270005,1997,1,27,Colombia,South America,Sucre,Guaranda,8.46771,-74.53563,,Private Citizens & Property,National Liberation Army of Colombia (ELN),Unknown,1,0
64438,199701270006,1997,1,27,Colombia,South America,Valle del Cauca,Cali,3.4252190000000002,-76.510584,,Private Citizens & Property,Unknown,Firearms,5,0
64453,199701280012,1997,1,28,Colombia,South America,Unknown,Vagado,,,,Private Citizens & Property,National Liberation Army of Colombia (ELN),Unknown,10,9
64454,199701280013,1997,1,28,Colombia,South America,Arauca,Arauca,7.08582,-70.75779,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
64460,199701290004,1997,1,29,Colombia,South America,Antioquia,Medellin,6.270526,-75.57217299999999,,Business,Unknown,Explosives/Bombs/Dynamite,4,40
64469,199701300008,1997,1,30,Colombia,South America,Bogota,Bogota,4.5981,-74.07603,,Business,Revolutionary Armed Forces of Colombia (FARC),Unknown,0,0
64471,199701310003,1997,1,31,Colombia,South America,Cesar,Agustin Codazzi,10.0355,-73.23725,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
64586,199702070008,1997,2,7,Colombia,South America,Antioquia,Los Catios,7.666672,-76.999989,,Tourists,Revolutionary Armed Forces of Colombia (FARC),Unknown,6,0
64587,199702070009,1997,2,7,Colombia,South America,Bolivar,Unknown,8.670438,-74.030012,,Private Citizens & Property,Revolutionary Armed Forces of Colombia (FARC),Unknown,0,0
64632,199702120008,1997,2,12,Colombia,South America,Unknown,Unknown,,,,Private Citizens & Property,Revolutionary Armed Forces of Colombia (FARC),Unknown,2,0
64633,199702120009,1997,2,12,Colombia,South America,Atlantico,Barranquilla,10.981411999999999,-74.778319,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
