year,injuries,fatalities,region,count
1971,0,0,Central America & Caribbean,1
1976,6,0,Central America & Caribbean,12
1977,0,0,Central America & Caribbean,5
1978,0,0,Central America & Caribbean,2
1979,0,3,Central America & Caribbean,2
1980,1,0,Central America & Caribbean,3
1981,5,4,Central America & Caribbean,10
1982,10,4,Central America & Caribbean,6
1983,0,0,Central America & Caribbean,3
1984,0,0,Central America & Caribbean,2
1985,0,0,Central America & Caribbean,5
1986,3,0,Central America & Caribbean,1
1987,0,0,Central America & Caribbean,3
1988,6,0,Central America & Caribbean,2
1989,2,1,Central America & Caribbean,1
1990,0,0,Central America & Caribbean,1
1991,0,0,Central America & Caribbean,2
1992,0,0,Central America & Caribbean,2
1994,0,1,Central America & Caribbean,1
1996,4,1,Central America & Caribbean,1
1997,1,2,Central America & Caribbean,1
2001,0,1,Central America & Caribbean,1
