,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
3559,197603030001,1976,3,3,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Government (Diplomatic),Coordination of the United Revolutionary Organization (CORU),Explosives/Bombs/Dynamite,0,0
3689,197604300001,1976,4,30,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
3794,197605290001,1976,5,29,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Educational Institution,Coordination of the United Revolutionary Organization (CORU),Unknown,0,0
3851,197606180003,1976,6,18,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Journalists & Media,Coordination of the United Revolutionary Organization (CORU),Explosives/Bombs/Dynamite,0,0
3900,197607090001,1976,7,9,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
3940,197607220001,1976,7,22,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
3945,197607230004,1976,7,23,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Government (Diplomatic),Roberto Santucho Revolutionary Group,Explosives/Bombs/Dynamite,0,0
3968,197608020001,1976,8,2,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
4023,197608240001,1976,8,24,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Airports & Aircraft,Coordination of the United Revolutionary Organization (CORU),Explosives/Bombs/Dynamite,0,3
4033,197608280003,1976,8,28,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Business,Coordination of the United Revolutionary Organization (CORU),Explosives/Bombs/Dynamite,0,3
4216,197611080001,1976,11,8,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Government (Diplomatic),Sandinista National Liberation Front (FSLN),Explosives/Bombs/Dynamite,0,0
4217,197611080002,1976,11,8,Costa Rica,Central America & Caribbean,,San Jose,9.933333,-84.083333,,Government (Diplomatic),Sandinista National Liberation Front (FSLN),Explosives/Bombs/Dynamite,0,0
