,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
47106,199107110015,1991,7,11,Croatia,Eastern Europe,,Osijek,45.554961999999996,18.695514000000003,,Police,Serbian extremists,Firearms,2,3
47159,199107150006,1991,7,15,Croatia,Eastern Europe,,Lipik,45.414281,17.161192,,Police,Serbian Nationalists,Firearms,1,0
47166,199107150014,1991,7,15,Croatia,Eastern Europe,,Petrinja,45.440431,16.278323,,Police,Unknown,Firearms,1,1
47167,199107150015,1991,7,15,Croatia,Eastern Europe,,Lipik,44.5086111,19.9108333,,Police,Unknown,Firearms,1,0
47168,199107150016,1991,7,15,Croatia,Eastern Europe,,Gornji Vidusevac,45.35617,16.051675,,Police,Serbian Nationalists,Explosives/Bombs/Dynamite,1,0
47182,199107160012,1991,7,16,Croatia,Eastern Europe,,Split,43.512896999999995,16.442495,,Military,Unknown,Explosives/Bombs/Dynamite,0,0
47183,199107160013,1991,7,16,Croatia,Eastern Europe,,Sisak,45.476023,16.368001,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
47192,199107160022,1991,7,16,Croatia,Eastern Europe,,Glina,45.338316999999996,16.09098,,Police,Serbian extremists,Firearms,0,7
47193,199107160026,1991,7,16,Croatia,Eastern Europe,,Glina,45.338316999999996,16.09098,,Police,Serbian extremists,Firearms,0,0
47194,199107160027,1991,7,16,Croatia,Eastern Europe,,Glina,45.338316999999996,16.09098,,Police,Serbian extremists,Firearms,0,0
47218,199107180013,1991,7,18,Croatia,Eastern Europe,,Jesenice,44.228681,15.579421,,Police,Serbian extremists,Firearms,0,0
47243,199107200007,1991,7,20,Croatia,Eastern Europe,,Gospic,44.545891999999995,15.375409,,Police,Unknown,Firearms,1,0
47284,199107230003,1991,7,23,Croatia,Eastern Europe,,Zagreb,45.812813,15.978283,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
47285,199107230004,1991,7,23,Croatia,Eastern Europe,,Split,43.512896999999995,16.442495,,Military,Unknown,Explosives/Bombs/Dynamite,0,0
47379,199107280006,1991,7,28,Croatia,Eastern Europe,,Kastela,43.549807,16.383104,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
47380,199107280007,1991,7,28,Croatia,Eastern Europe,,Stari,,,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
47386,199107280013,1991,7,28,Croatia,Eastern Europe,,Glina,45.338316999999996,16.09098,,Police,Serbian extremists,Firearms,180,0
47397,199107290009,1991,7,29,Croatia,Eastern Europe,,Zrovica,43.52111,16.55917,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
47584,199108100022,1991,8,10,Croatia,Eastern Europe,,Hrastovica,45.398422,16.288493,,Private Citizens & Property,Serbian guerrillas,Explosives/Bombs/Dynamite,1,0
47684,199108160013,1991,8,16,Croatia,Eastern Europe,,Medari,45.266311,17.289735999999998,,Government (Diplomatic),Unknown,Unknown,0,0
47703,199108180006,1991,8,18,Croatia,Eastern Europe,,Zagreb,45.812813,15.978283,,Religious Figures/Institutions,Serbian guerrillas,Explosives/Bombs/Dynamite,0,0
47704,199108180007,1991,8,18,Croatia,Eastern Europe,,Zagreb,45.812813,15.978283,,Private Citizens & Property,Serbian guerrillas,Explosives/Bombs/Dynamite,0,0
47764,199108220024,1991,8,22,Croatia,Eastern Europe,,Osijek,45.554961999999996,18.695514000000003,,Private Citizens & Property,Serbian guerrillas,Explosives/Bombs/Dynamite,0,0
47765,199108220025,1991,8,22,Croatia,Eastern Europe,,Sisak,45.476023,16.368001,,Police,Serbian guerrillas,Firearms,8,20
47771,199108230004,1991,8,23,Croatia,Eastern Europe,,Karlovac,45.4916667,15.55,,Business,Unknown,Explosives/Bombs/Dynamite,0,4
49090,199111190001,1991,11,19,Croatia,Eastern Europe,,Vukovar,45.3433333,18.999722199999997,,Educational Institution,Croatian Militia,Firearms,41,0
