,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
65089,199704120006,1997,4,12,Cuba,Central America & Caribbean,,Varadero,23.187726,-81.175976,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
65090,199704120007,1997,4,12,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
65094,199704120011,1997,4,12,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
65890,199707120007,1997,7,12,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Business,"Raul Ernesto Cruz Leon, Salvadorian",Explosives/Bombs/Dynamite,0,3
65891,199707120008,1997,7,12,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Business,Unknown,Melee,0,0
65892,199707120009,1997,7,12,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Business,Unknown,Melee,0,0
65893,199707120010,1997,7,12,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Business,"Raul Ernesto Cruz Leon, Salvadorian",Explosives/Bombs/Dynamite,0,0
65960,199707190009,1997,7,19,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
66095,199708040009,1997,8,4,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
66298,199708220007,1997,8,22,Cuba,Central America & Caribbean,,Varadero,23.187726,-81.175976,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
66440,199709040005,1997,9,4,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Business,Unknown,Explosives/Bombs/Dynamite,1,0
66442,199709040007,1997,9,4,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Business,"Raul Ernesto Cruz Leon, Salvadorian",Explosives/Bombs/Dynamite,0,0
66707,199710040011,1997,10,4,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Airports & Aircraft,Unknown,Explosives/Bombs/Dynamite,0,0
66726,199710070003,1997,10,7,Cuba,Central America & Caribbean,,Havana,23.1319444,-82.3641667,,Airports & Aircraft,Unknown,Explosives/Bombs/Dynamite,0,0
