year,injuries,fatalities,region,count
1973,1,1,Western Europe,3
1975,1,0,Western Europe,2
1977,0,0,Western Europe,1
1978,1,16,Western Europe,2
1979,0,2,Western Europe,5
1980,0,3,Western Europe,1
1981,6,0,Western Europe,3
1982,0,0,Western Europe,1
1983,1,0,Western Europe,2
1984,5,6,Western Europe,7
1985,0,3,Western Europe,7
1986,2,1,Western Europe,3
1987,2,1,Western Europe,10
1988,15,6,Western Europe,5
1989,1,1,Western Europe,6
1990,2,0,Western Europe,11
1991,0,0,Western Europe,11
1992,0,0,Western Europe,6
1994,0,2,Western Europe,6
1995,1,0,Western Europe,3
1996,3,3,Western Europe,10
1998,0,0,Western Europe,1
1999,0,0,Western Europe,1
2000,0,0,Western Europe,2
2001,0,0,Western Europe,1
2004,0,0,Western Europe,1
2007,0,0,Western Europe,1
2012,0,0,Western Europe,1
2013,0,0,Western Europe,9
2014,0,0,Western Europe,5
2015,0,0,Western Europe,3
2016,0,0,Western Europe,2
