,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
45301,199102020002,1991,2,2,Cyprus,Western Europe,Larnaca,Larnaca,34.917861,33.633003,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
45302,199102020003,1991,2,2,Cyprus,Western Europe,Larnaca,Larnaca,34.917861,33.633003,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
45581,199102250002,1991,2,25,Cyprus,Western Europe,Limassol,Limassol,34.707332,33.023396999999996,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
45809,199103250002,1991,3,25,Cyprus,Western Europe,Larnaca,Larnaca,34.917861,33.633003,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
45810,199103250003,1991,3,25,Cyprus,Western Europe,Larnaca,Larnaca,34.917861,33.633003,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
45817,199103250010,1991,3,25,Cyprus,Western Europe,Limassol,Limassol,34.707332,33.023396999999996,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
45818,199103250011,1991,3,25,Cyprus,Western Europe,Limassol,Limassol,34.707332,33.023396999999996,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
45819,199103250012,1991,3,25,Cyprus,Western Europe,Limassol,Limassol,34.707332,33.023396999999996,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,0
47648,199108150002,1991,8,15,Cyprus,Western Europe,Nicosia,Nicosia,35.166764,33.367616,,Government (General),Cyprus Turkish People's Movement,Explosives/Bombs/Dynamite,0,0
47649,199108150003,1991,8,15,Cyprus,Western Europe,Famagusta,Famagusta,35.132985,33.934618,,Government (General),Cyprus Turkish People's Movement,Explosives/Bombs/Dynamite,0,0
48113,199109220001,1991,9,22,Cyprus,Western Europe,Nicosia,Nicosia,35.166765000000005,33.367616999999996,,Airports & Aircraft,Unknown,Incendiary,0,0
