year,injuries,fatalities,region,count
1997,0,8,Sub-Saharan Africa,1
1998,0,67,Sub-Saharan Africa,4
1999,0,7,Sub-Saharan Africa,3
2000,9,40,Sub-Saharan Africa,3
2001,5,15,Sub-Saharan Africa,5
2002,32,16,Sub-Saharan Africa,7
2003,1,154,Sub-Saharan Africa,6
2004,11,22,Sub-Saharan Africa,5
2005,25,22,Sub-Saharan Africa,4
2006,1,23,Sub-Saharan Africa,5
2007,53,72,Sub-Saharan Africa,11
2008,26,319,Sub-Saharan Africa,20
2009,155,824,Sub-Saharan Africa,54
2010,12,118,Sub-Saharan Africa,18
2011,8,50,Sub-Saharan Africa,16
2012,165,288,Sub-Saharan Africa,25
2013,72,150,Sub-Saharan Africa,22
2014,170,366,Sub-Saharan Africa,109
2015,244,367,Sub-Saharan Africa,141
2016,176,532,Sub-Saharan Africa,169
