year,injuries,fatalities,region,count
1978,0,0,Western Europe,1
1979,2,0,Western Europe,3
1980,0,0,Western Europe,1
1981,6,0,Western Europe,6
1985,10,1,Western Europe,4
1986,0,0,Western Europe,2
1987,0,0,Western Europe,2
1988,0,0,Western Europe,1
1989,0,0,Western Europe,1
1991,0,0,Western Europe,1
1992,0,1,Western Europe,4
1995,0,0,Western Europe,6
1999,0,0,Western Europe,1
2008,2,0,Western Europe,1
2010,1,0,Western Europe,1
2013,0,0,Western Europe,1
2015,5,2,Western Europe,4
2016,3,1,Western Europe,1
