year,injuries,fatalities,region,count
1970,0,1,Central America & Caribbean,2
1971,0,0,Central America & Caribbean,3
1973,0,0,Central America & Caribbean,3
1974,0,0,Central America & Caribbean,2
1978,0,3,Central America & Caribbean,1
1979,1,1,Central America & Caribbean,2
1980,2,1,Central America & Caribbean,1
1982,3,5,Central America & Caribbean,2
1987,4,7,Central America & Caribbean,15
1988,4,0,Central America & Caribbean,2
1989,2,1,Central America & Caribbean,11
1990,3,3,Central America & Caribbean,2
1991,0,1,Central America & Caribbean,8
1992,10,1,Central America & Caribbean,11
1994,18,2,Central America & Caribbean,7
1996,11,3,Central America & Caribbean,3
1997,30,3,Central America & Caribbean,12
2013,0,0,Central America & Caribbean,1
2014,35,0,Central America & Caribbean,1
