,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
31600,198707260001,1987,7,26,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Private Citizens & Property,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,0,0
31601,198707260002,1987,7,26,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Private Citizens & Property,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,0,0
31602,198707260003,1987,7,26,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Private Citizens & Property,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,0,0
31603,198707260004,1987,7,26,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Private Citizens & Property,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,0,0
31604,198707260005,1987,7,26,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Business,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,0,0
31615,198707280006,1987,7,28,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Business,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,1,0
31616,198707280007,1987,7,28,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Business,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,1,0
31617,198707280008,1987,7,28,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Business,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,1,0
31618,198707280009,1987,7,28,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Business,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,1,0
31619,198707280010,1987,7,28,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Business,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,1,0
31620,198707280011,1987,7,28,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Business,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,1,0
31621,198707280012,1987,7,28,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Business,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,1,0
31622,198707280013,1987,7,28,Dominican Republic,Central America & Caribbean,,Santo Domingo,18.456792,-69.951164,,Private Citizens & Property,Maximiliano Gomez Revolutionary Brigade,Explosives/Bombs/Dynamite,0,0
32763,198711260002,1987,11,26,Dominican Republic,Central America & Caribbean,,Bonao,18.942101,-70.40937,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,4
32769,198711270002,1987,11,27,Dominican Republic,Central America & Caribbean,,Bonao,18.942101,-70.40937,,Government (General),Unknown,Incendiary,0,0
