,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
15,197001100001,1970,1,10,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Government (General),Commune 1,Explosives/Bombs/Dynamite,0,0
34,197001280001,1970,1,28,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Police,Unknown,Incendiary,0,0
241,197004280002,1970,4,28,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Government (General),Unknown,Incendiary,0,0
258,197005050001,1970,5,5,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Government (Diplomatic),Extraparliamentary Opposition (APO),Incendiary,0,0
275,197005100001,1970,5,10,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Business,Extraparliamentary Opposition (APO),Incendiary,0,0
453,197008070001,1970,8,7,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Government (General),SFT,Explosives/Bombs/Dynamite,0,0
459,197008120001,1970,8,12,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Police,Unknown,Explosives/Bombs/Dynamite,0,0
460,197008140001,1970,8,14,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Police,Unknown,Explosives/Bombs/Dynamite,0,0
476,197008270001,1970,8,27,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Business,Unknown,Explosives/Bombs/Dynamite,0,0
507,197009090001,1970,9,9,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Private Citizens & Property,Extraparliamentary Opposition (APO),Explosives/Bombs/Dynamite,0,0
523,197009240002,1970,9,24,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
592,197011070001,1970,11,7,East Germany (GDR),Eastern Europe,,East Berlin,52.516667000000005,13.4,,Religious Figures/Institutions,Unknown,Explosives/Bombs/Dynamite,0,0
