year,injuries,fatalities,region,count
1973,0,0,South America,1
1974,2,0,South America,3
1976,1,1,South America,2
1977,0,1,South America,7
1978,9,2,South America,11
1979,0,0,South America,2
1980,6,2,South America,2
1981,2,2,South America,2
1982,1,1,South America,3
1983,0,0,South America,10
1984,2,1,South America,24
1985,2,4,South America,12
1986,0,13,South America,8
1987,1,0,South America,6
1988,7,4,South America,9
1989,2,9,South America,14
1990,6,3,South America,8
1991,0,0,South America,17
1992,6,2,South America,23
1994,2,0,South America,6
1995,2,4,South America,6
1996,2,2,South America,5
1997,0,1,South America,4
1998,1,0,South America,3
1999,0,0,South America,2
2000,1,0,South America,4
2001,0,0,South America,5
2002,3,0,South America,2
2003,4,0,South America,4
2004,0,0,South America,2
2008,3,0,South America,2
2009,0,0,South America,1
2011,0,0,South America,1
2012,0,0,South America,1
2013,0,1,South America,2
2015,0,0,South America,1
2016,7,1,South America,2
