,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
21154,198403070002,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21155,198403070003,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21156,198403070004,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21157,198403070005,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21158,198403070006,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21159,198403070007,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21160,198403070008,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21161,198403070009,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21162,198403070010,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21163,198403070011,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21164,198403070012,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21165,198403070013,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21166,198403070014,1984,3,7,Ecuador,South America,Napo,Unknown,-0.737123,-78.110828,,Transportation,Unknown,Explosives/Bombs/Dynamite,0,0
21167,198403070015,1984,3,7,Ecuador,South America,Napo,Baeza,-0.464417,-77.890377,,Utilities,Unknown,Explosives/Bombs/Dynamite,0,0
21384,198403260016,1984,3,26,Ecuador,South America,Pichincha,Quito,-0.18143900000000002,-78.46726600000001,,Military,Unknown,Firearms,0,2
22087,198405290001,1984,5,29,Ecuador,South America,Unknown,Luito,,,,Religious Figures/Institutions,Alfaro Vive,Explosives/Bombs/Dynamite,0,0
22100,198405300001,1984,5,30,Ecuador,South America,Pichincha,Quito,-0.18143900000000002,-78.46726600000001,,Government (Diplomatic),Unknown,Explosives/Bombs/Dynamite,0,0
22204,198406130005,1984,6,13,Ecuador,South America,Guayas,Guayaquil,-2.170832,-79.922359,,Business,Alfaro Vive,Firearms,0,0
23335,198410020002,1984,10,2,Ecuador,South America,Unknown,Luito,,,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
23551,198410300003,1984,10,30,Ecuador,South America,Guayas,Guayaquil,-2.170832,-79.922359,,Police,Unknown,Firearms,1,0
23566,198411010003,1984,11,1,Ecuador,South America,Pichincha,Quito,-0.18143900000000002,-78.46726600000001,,Journalists & Media,Alfaro Vive,Unknown,0,0
23595,198411050008,1984,11,5,Ecuador,South America,Guayas,Guayaquil,-2.170832,-79.922359,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
23788,198411280003,1984,11,28,Ecuador,South America,Unknown,Luito,,,,Government (General),Unknown,Explosives/Bombs/Dynamite,0,0
23988,198412310001,1984,12,31,Ecuador,South America,Guayas,Guayaquil,-2.170832,-79.922359,,Journalists & Media,Unknown,Explosives/Bombs/Dynamite,0,0
