year,injuries,fatalities,region,count
1970,2,0,Middle East & North Africa,1
1971,0,1,Middle East & North Africa,1
1972,0,0,Middle East & North Africa,1
1977,0,1,Middle East & North Africa,1
1978,0,2,Middle East & North Africa,2
1979,4,1,Middle East & North Africa,1
1980,10,1,Middle East & North Africa,5
1981,89,67,Middle East & North Africa,9
1982,3,0,Middle East & North Africa,1
1985,2,2,Middle East & North Africa,2
1986,21,12,Middle East & North Africa,4
1987,12,1,Middle East & North Africa,7
1988,17,1,Middle East & North Africa,9
1989,1,1,Middle East & North Africa,7
1990,32,21,Middle East & North Africa,13
1991,13,8,Middle East & North Africa,10
1992,121,49,Middle East & North Africa,79
1994,148,173,Middle East & North Africa,143
1995,135,134,Middle East & North Africa,102
1996,63,97,Middle East & North Africa,51
1997,47,165,Middle East & North Africa,22
1998,15,9,Middle East & North Africa,3
1999,1,1,Middle East & North Africa,1
2004,171,38,Middle East & North Africa,2
2005,117,92,Middle East & North Africa,2
2006,100,19,Middle East & North Africa,5
2008,0,0,Middle East & North Africa,1
2009,25,1,Middle East & North Africa,2
2010,0,0,Middle East & North Africa,2
2011,109,28,Middle East & North Africa,18
2012,87,44,Middle East & North Africa,49
2013,623,243,Middle East & North Africa,315
2014,547,338,Middle East & North Africa,347
2015,1000,791,Middle East & North Africa,582
2016,626,606,Middle East & North Africa,365
