,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
142144,201501040010,2015,1,4,Egypt,Middle East & North Africa,North Sinai,Qabr Umayr,31.186667,34.008889,"01/04/2015: An explosive device detonated while army officers attempted to defuse it near Qabr Umayr village, North Sinai governorate, Egypt. At least one officer was killed and two others were wounded in the blast. Sinai Province of the Islamic State claimed responsibility for the incident.",Unknown,Sinai Province of the Islamic State,Explosives/Bombs/Dynamite,1,2
142180,201501040084,2015,1,4,Egypt,Middle East & North Africa,Cairo,Cairo,30.065047999999997,31.322858,"01/04/2015: Assailants opened fire on a police checkpoint in Mohandessen district, Cairo city, Cairo governorate, Egypt. At least two people, including one civilian and one assailant, were killed and three police officers were wounded in the attack. The Popular Resistance Movement (Egypt) claimed responsibility for the incident.",Police,Popular Resistance Movement (Egypt),Firearms,2,3
142181,201501040091,2015,1,4,Egypt,Middle East & North Africa,North Sinai,Unknown,30.608471999999995,33.617577000000004,"01/04/2015: Assailants abducted Ayman Mohamed Salama from North Sinai governorate, Egypt. Salama was beheaded and his body was discovered on January 10, 2015. Sinai Province of the Islamic State claimed responsibility for the incident and stated that Ayman Mohamed Salama was targeted because they believed he was working with security personnel.",Private Citizens & Property,Sinai Province of the Islamic State,Melee,1,0
142182,201501040093,2015,1,4,Egypt,Middle East & North Africa,North Sinai,Arish district,31.103965000000002,33.901494,"01/04/2015: An explosive device planted along the El Arish-Sheikh Zuweid highway was discovered and defused in Arish district, North Sinai governorate, Egypt. The Sinai Province of the Islamic State claimed responsibility for the incident.",Unknown,Sinai Province of the Islamic State,Explosives/Bombs/Dynamite,0,0
142196,201501050014,2015,1,5,Egypt,Middle East & North Africa,North Sinai,Arish,31.130623999999997,33.80194,"01/05/2015: An explosive device detonated in El-Arish town, North Sinai governorate, Egypt. At least four police officers were wounded in the blast. Sinai Province of the Islamic State claimed responsibility for the incident.",Police,Sinai Province of the Islamic State,Explosives/Bombs/Dynamite,0,4
142223,201501050066,2015,1,5,Egypt,Middle East & North Africa,North Sinai,Esh Shalaq,30.812140000000003,34.172752,"01/05/2015: Assailants kidnapped three Bedouin boys in Esh Shalaq village, North Sinai governorate, Egypt. The boys were killed on January 10, 2015. No group claimed responsibility for the incident; however, sources attributed the abduction to Sinai Province of the Islamic State and stated that the boys were targeted on suspicions of collaborating with security forces.",Private Citizens & Property,Sinai Province of the Islamic State,Unknown,3,0
142226,201501060001,2015,1,6,Egypt,Middle East & North Africa,North Sinai,Sheikh Zuweid,31.211645,34.110425,"01/06/2015: A suicide bomber attempted to detonate at a police station in Sheikh Zuweid city, North Sinai governorate, Egypt. Security forces killed the bomber before the attack could be carried out. No group claimed responsibility for the incident.",Police,Unknown,Explosives/Bombs/Dynamite,1,0
142227,201501060003,2015,1,6,Egypt,Middle East & North Africa,Cairo,Cairo,30.044555,31.235979999999998,"01/06/2015: An explosive device detonated outside of a police station and petrol station while police attempted to defuse it in Al-Harram street, Talbia district, Giza governorate, Egypt. One police officer was killed and three bystanders were injured in the blast. Both Ajnad Misr and the Popular Resistance Movement (Egypt) claimed responsibility for the incident.",Business,Ajnad Misr,Explosives/Bombs/Dynamite,1,3
142228,201501060004,2015,1,6,Egypt,Middle East & North Africa,Minya,Minya,28.086801,30.762019,"01/06/2015: Assailants opened fire on police officers guarding a Coptic church in Minya city, Minya governorate, Egypt. Two police officers were killed in the attack. No group claimed responsibility for the incident.",Police,Unknown,Firearms,2,0
142286,201501070045,2015,1,7,Egypt,Middle East & North Africa,North Sinai,Unknown,30.608471999999995,33.617577000000004,"01/07/2015: Assailants abducted a civilian from North Sinai governorate, Egypt. The civilian was killed and his body was discovered on January 10, 2015. No group claimed responsibility; however, sources attributed the incident to Sinai Province of the Islamic State, which carried out the attack because of the victim's alleged collaboration with security forces.",Private Citizens & Property,Sinai Province of the Islamic State,Firearms,1,0
