year,injuries,fatalities,region,count
1972,0,0,Central America & Caribbean,2
1973,0,0,Central America & Caribbean,1
1974,3,0,Central America & Caribbean,3
1975,0,2,Central America & Caribbean,3
1976,1,3,Central America & Caribbean,13
1977,0,4,Central America & Caribbean,6
1978,37,33,Central America & Caribbean,91
1979,93,286,Central America & Caribbean,326
1980,277,2383,Central America & Caribbean,710
1981,359,1578,Central America & Caribbean,664
1982,193,1549,Central America & Caribbean,537
1983,458,1667,Central America & Caribbean,371
1984,487,1315,Central America & Caribbean,273
1985,279,1013,Central America & Caribbean,436
1986,187,293,Central America & Caribbean,175
1987,317,421,Central America & Caribbean,234
1988,364,361,Central America & Caribbean,367
1989,612,350,Central America & Caribbean,356
1990,224,294,Central America & Caribbean,184
1991,1017,426,Central America & Caribbean,500
1992,38,23,Central America & Caribbean,29
1994,32,22,Central America & Caribbean,21
1995,16,3,Central America & Caribbean,9
1996,59,26,Central America & Caribbean,7
1997,9,1,Central America & Caribbean,2
