,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
9862,198001040003,1980,1,4,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Journalists & Media,Farabundo Marti National Liberation Front (FMLN),Firearms,0,0
9863,198001040004,1980,1,4,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Journalists & Media,Farabundo Marti National Liberation Front (FMLN),Firearms,0,0
9864,198001040005,1980,1,4,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Journalists & Media,Farabundo Marti National Liberation Front (FMLN),Firearms,0,0
9865,198001040006,1980,1,4,El Salvador,Central America & Caribbean,,Sonsonate,13.7188889,-89.7241667,,Journalists & Media,Farabundo Marti National Liberation Front (FMLN),Firearms,0,0
9866,198001040007,1980,1,4,El Salvador,Central America & Caribbean,,Unknown,,,,Journalists & Media,Unknown,Unknown,0,0
9867,198001040008,1980,1,4,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Military,Farabundo Marti National Liberation Front (FMLN),Firearms,4,2
9874,198001060003,1980,1,6,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Business,Unknown,Incendiary,0,0
9894,198001110001,1980,1,11,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Government (Diplomatic),February 28 Popular League (El Salvador),Firearms,0,0
9914,198001140005,1980,1,14,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Government (Diplomatic),Farabundo Marti National Liberation Front (FMLN),Firearms,0,0
9915,198001140006,1980,1,14,El Salvador,Central America & Caribbean,,Buenos Aires,,,,Private Citizens & Property,Farabundo Marti National Liberation Front (FMLN),Firearms,0,0
9916,198001140007,1980,1,14,El Salvador,Central America & Caribbean,,Menjivar,13.841095000000001,-88.832936,,Private Citizens & Property,Farabundo Marti National Liberation Front (FMLN),Firearms,0,0
9917,198001140008,1980,1,14,El Salvador,Central America & Caribbean,,La Esmeralda,13.433333300000001,-89.1166667,,Private Citizens & Property,Farabundo Marti National Liberation Front (FMLN),Firearms,0,0
9918,198001140009,1980,1,14,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Private Citizens & Property,Farabundo Marti National Liberation Front (FMLN),Firearms,1,0
9930,198001150009,1980,1,15,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Terrorists/Non-State Militia,Farabundo Marti National Liberation Front (FMLN),Unknown,1,0
9931,198001150010,1980,1,15,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Terrorists/Non-State Militia,Farabundo Marti National Liberation Front (FMLN),Unknown,1,0
9932,198001150011,1980,1,15,El Salvador,Central America & Caribbean,,Ayutuxtepeque,13.749885,-89.199936,,Government (General),Party of National Conciliation,Unknown,1,0
9945,198001170001,1980,1,17,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Government (General),Farabundo Marti National Liberation Front (FMLN),Explosives/Bombs/Dynamite,0,0
9949,198001170005,1980,1,17,El Salvador,Central America & Caribbean,,Ayutuxtepeque,13.749885,-89.199936,,Private Citizens & Property,Unknown,Firearms,1,0
9972,198001210002,1980,1,21,El Salvador,Central America & Caribbean,,San Juuan,,,,Military,Farabundo Marti National Liberation Front (FMLN),Firearms,4,0
9973,198001210003,1980,1,21,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Government (Diplomatic),Left-Wing Terrorists,Unknown,0,0
9974,198001220001,1980,1,22,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Educational Institution,Unknown,Explosives/Bombs/Dynamite,0,0
9975,198001220003,1980,1,22,El Salvador,Central America & Caribbean,,Tejutepeque,13.85077,-88.90406,,Government (General),Farabundo Marti National Liberation Front (FMLN),Firearms,1,2
9976,198001220004,1980,1,22,El Salvador,Central America & Caribbean,,San Francisco Chinameca,13.607873999999999,-89.09533499999999,,Government (General),Unknown,Unknown,3,0
9990,198001230002,1980,1,23,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Police,Farabundo Marti National Liberation Front (FMLN),Firearms,4,0
9991,198001230003,1980,1,23,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Educational Institution,Right-Wing Group,Firearms,0,0
9993,198001240001,1980,1,24,El Salvador,Central America & Caribbean,,Aguilares,13.957222199999999,-89.1897222,,Military,Unknown,Unknown,1,0
9994,198001240002,1980,1,24,El Salvador,Central America & Caribbean,,Sonsonate,13.7188889,-89.7241667,,Business,Farabundo Marti National Liberation Front (FMLN),Unknown,1,0
9995,198001240003,1980,1,24,El Salvador,Central America & Caribbean,,Sonsonate,13.7188889,-89.7241667,,Business,Farabundo Marti National Liberation Front (FMLN),Unknown,1,0
9998,198001250001,1980,1,25,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Military,Farabundo Marti National Liberation Front (FMLN),Firearms,1,0
9999,198001250002,1980,1,25,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Police,Farabundo Marti National Liberation Front (FMLN),Firearms,2,0
10000,198001250004,1980,1,25,El Salvador,Central America & Caribbean,,San Cayetano Istepeque,13.649784,-88.808797,,Government (General),Unknown,Firearms,1,0
10004,198001250008,1980,1,25,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Government (General),Unknown,Firearms,0,2
10006,198001250010,1980,1,25,El Salvador,Central America & Caribbean,,Mexicanos,13.733353,-89.21667099999999,,Private Citizens & Property,Unknown,Unknown,2,0
10027,198001270002,1980,1,27,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Government (General),Unknown,Firearms,2,0
10028,198001270003,1980,1,27,El Salvador,Central America & Caribbean,,Santa Ana,13.99417,-89.55972,,Business,United Popular Action Front (FAPU),Firearms,3,0
10029,198001270004,1980,1,27,El Salvador,Central America & Caribbean,,Coatepeque,13.926371,-89.502589,,Private Citizens & Property,Farabundo Marti National Liberation Front (FMLN),Firearms,20,1
10032,198001280001,1980,1,28,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Business,Farabundo Marti National Liberation Front (FMLN),Explosives/Bombs/Dynamite,0,0
10035,198001280005,1980,1,28,El Salvador,Central America & Caribbean,,Ilobasco,13.85,-88.85,,Religious Figures/Institutions,United Popular Action Front (FAPU),Unknown,4,0
10039,198001290004,1980,1,29,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Private Citizens & Property,Unknown,Unknown,1,0
10041,198001290007,1980,1,29,El Salvador,Central America & Caribbean,,San Vicente,13.641210000000001,-88.785423,,Private Citizens & Property,Popular Revolutionary Bloc (BPR),Incendiary,0,0
10042,198001290008,1980,1,29,El Salvador,Central America & Caribbean,,Santa Clara,13.702620999999999,-88.727772,,Private Citizens & Property,Farabundo Marti National Liberation Front (FMLN),Firearms,3,0
10043,198001290009,1980,1,29,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Government (General),February 28 Popular League (El Salvador),Firearms,0,0
10046,198001300003,1980,1,30,El Salvador,Central America & Caribbean,,San Miguel,13.466667000000001,-88.18333299999999,,Terrorists/Non-State Militia,Farabundo Marti National Liberation Front (FMLN),Firearms,1,0
10089,198002050003,1980,2,5,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Government (General),Unknown,Unknown,1,0
10093,198002050007,1980,2,5,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Government (Diplomatic),February 28 Popular League (El Salvador),Firearms,0,0
10095,198002050009,1980,2,5,El Salvador,Central America & Caribbean,,San Salvador,13.692879999999999,-89.199161,,Government (General),Unknown,Unknown,0,0
