year,injuries,fatalities,region,count
1972,0,1,Western Europe,9
1973,20,5,Western Europe,14
1974,41,3,Western Europe,29
1975,25,3,Western Europe,39
1976,10,7,Western Europe,58
1977,7,3,Western Europe,53
1978,17,21,Western Europe,59
1979,41,11,Western Europe,212
1980,74,20,Western Europe,94
1981,78,8,Western Europe,66
1982,144,17,Western Europe,62
1983,186,20,Western Europe,121
1984,57,15,Western Europe,145
1985,83,17,Western Europe,106
1986,306,25,Western Europe,95
1987,8,5,Western Europe,87
1988,19,6,Western Europe,54
1989,2,3,Western Europe,25
1990,3,3,Western Europe,30
1991,5,6,Western Europe,137
1992,12,9,Western Europe,126
1994,22,7,Western Europe,97
1995,177,19,Western Europe,71
1996,114,18,Western Europe,270
1997,4,0,Western Europe,130
1998,0,1,Western Europe,12
1999,2,0,Western Europe,46
2000,1,4,Western Europe,28
2001,16,0,Western Europe,21
2002,4,0,Western Europe,32
2003,21,0,Western Europe,34
2004,10,0,Western Europe,11
2005,11,0,Western Europe,33
2006,3,1,Western Europe,34
2007,8,3,Western Europe,16
2008,1,0,Western Europe,13
2009,11,0,Western Europe,9
2010,0,0,Western Europe,3
2011,4,0,Western Europe,8
2012,8,8,Western Europe,65
2013,5,0,Western Europe,12
2014,15,1,Western Europe,14
2015,443,162,Western Europe,36
2016,470,95,Western Europe,26
