year,injuries,fatalities,region,count
1991,8,2,Central Asia,3
1992,50,109,Central Asia,39
1994,45,29,Central Asia,18
1995,23,14,Central Asia,17
1996,10,2,Central Asia,3
1997,3,35,Central Asia,6
1998,47,32,Central Asia,12
1999,26,5,Central Asia,7
2000,5,3,Central Asia,7
2001,9,6,Central Asia,4
2002,15,1,Central Asia,2
2003,1,0,Central Asia,6
2004,1,0,Central Asia,3
2005,32,8,Central Asia,6
2006,4,5,Central Asia,3
2008,62,13,Central Asia,33
2009,21,5,Central Asia,25
2010,14,4,Central Asia,7
2011,1,1,Central Asia,3
2012,2,1,Central Asia,3
2013,0,2,Central Asia,2
2014,1,0,Central Asia,2
2015,0,0,Central Asia,1
2016,7,1,Central Asia,4
