year,injuries,fatalities,region,count
1990,0,0,Western Europe,1
1991,35,10,Western Europe,65
1992,217,17,Western Europe,156
1994,85,2,Western Europe,79
1995,26,10,Western Europe,147
1996,5,1,Western Europe,52
1997,27,0,Western Europe,12
1998,0,0,Western Europe,6
1999,47,3,Western Europe,13
2000,29,1,Western Europe,8
2001,6,3,Western Europe,8
2002,2,0,Western Europe,3
2003,0,0,Western Europe,2
2004,25,1,Western Europe,3
2005,0,2,Western Europe,3
2006,0,2,Western Europe,4
2007,1,1,Western Europe,3
2008,2,0,Western Europe,3
2009,0,0,Western Europe,4
2010,0,0,Western Europe,1
2011,2,2,Western Europe,8
2012,0,0,Western Europe,4
2014,0,0,Western Europe,13
2015,47,1,Western Europe,64
2016,117,27,Western Europe,41
